;recorded by GEM.dll
Line,Sample,Mark,Status,GPSStat,Time[ms],PowerLn1,I1_450Hz,Q1_450Hz,I1_1530Hz,Q1_1530Hz,I1_5310Hz,Q1_5310Hz,I1_18330Hz,Q1_18330Hz,I1_63030Hz,Q1_63030Hz,Q1_SumC
 1,  0, 0,0,0,549280051,62.7, 33602.742,22160.182,52862.820,23288.359,72493.328,19784.629,86395.484,13061.875,99644.656,6330.350,84625.398
 1,  1, 0,0,0,549281051,62.1, 33649.383,21894.602,53100.387,23166.316,71964.172,19773.732,86397.305,13032.497,99198.141,6583.478,84450.625
 1,  2, 0,0,0,549282051,63.1, 33717.453,22033.756,53011.070,23274.248,72277.969,19738.484,86199.875,12887.759,98698.875,6206.895,84141.141
 1,  3, 0,0,0,549283051,62.5, 33582.773,21938.541,52978.652,23391.463,72106.570,19830.064,86182.680,12880.938,98834.156,6327.500,84368.508
 1,  4, 0,0,0,549284051,62.2, 33256.539,21968.447,52818.926,23413.605,72286.266,19573.613,85856.188,13079.114,98525.703,7074.731,85109.516
 1,  5, 0,0,1,549285051,62.7, 33608.020,22091.295,52937.914,23120.078,72096.828,19855.500,86104.508,13054.134,98357.133,6179.159,84300.164
 1,  6, 0,0,1,549286051,62.1, 33491.723,22249.740,53005.563,23180.914,72023.711,19690.961,86376.391,13274.148,99019.930,6656.926,85052.688
 1,  7, 0,0,1,549287050,62.4, 33748.797,22068.410,52965.129,23338.156,72244.492,19598.328,85996.914,13377.190,100198.742,6181.816,84563.906
 1,  8, 0,0,1,549288051,62.6, 33557.910,22103.813,53080.418,23215.490,72425.320,19576.961,85897.047,12820.159,99040.516,6956.000,84672.422
 1,  9, 0,0,1,549289051,62.7, 33574.094,22133.287,52775.512,23289.844,71926.031,19383.865,86081.094,12591.539,99757.438,6076.008,83474.547
 1, 10, 0,0,1,549290051,62.3, 33764.496,22052.680,53112.570,23123.092,72326.633,19894.168,85927.602,12938.655,98058.813,5759.635,83768.227
 1, 11, 0,0,1,549291050,61.6, 33572.371,22074.996,53093.293,23211.152,71858.750,20171.393,86361.703,12871.721,100275.719,6385.607,84714.867
 1, 12, 0,0,1,549292050,62.2, 33624.094,21976.740,52810.664,23281.658,72286.453,19321.746,86502.195,12850.332,97983.883,6276.391,83706.867
 1, 13, 0,0,1,549293050,61.6, 33289.152,22137.609,52987.238,23526.555,71948.242,19763.219,86500.516,13049.077,98420.758,6986.383,85462.844
 1, 14, 0,0,1,549294050,61.0, 33623.016,21965.445,52929.754,23141.170,71611.906,19496.760,86221.188,12951.980,98699.203,6764.443,84319.805
 1, 15, 0,0,1,549295050,60.9, 33807.547,22160.055,52880.570,23380.695,71762.945,19916.941,86340.422,12958.172,99126.156,6476.130,84891.992
 1, 16, 0,0,1,549296050,61.9, 33682.695,21991.252,52716.875,23296.332,72091.203,19652.125,86309.070,12920.486,99420.023,6305.969,84166.164
 1, 17, 0,0,1,549297050,60.9, 33290.121,21934.664,52877.871,23193.295,72242.797,19594.418,86132.461,12803.561,99049.922,6034.518,83560.453
 1, 18, 0,0,1,549298050,62.9, 33422.313,22113.334,52753.988,23197.627,72531.523,19319.527,85955.578,13087.585,98913.016,6745.571,84463.641
