Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,0,0.00,0.00,0,0,49136044.200,133856.0442,47.2,6.13259e+001,5.07789e+002,4.90458e+001,2.30600e+002,3.20072e+002,2.99463e+002,5.06860e+002,7.36084e+002,4.68817e+002,2.26656e+003, 3.52117e+002, 4.62138e+001, 1.85435e+001, 1.35579e+001, 1.23117e+001, 1.50743e+001,-6.06292e-001,-4.84916e-001,-3.16032e+000,-5.00001e+000,-4.62559e+000
0,1,0.01,0.00,0,0,49136144.200,133856.1442,47.4,-9.73017e+001,3.78092e+002,9.87900e+001,1.93653e+002,2.38959e+002,2.52684e+002,4.68404e+002,7.81175e+002,5.12798e+002,2.25195e+003, 2.56237e+002, 3.93092e+001, 1.53681e+001, 1.43028e+001, 1.22766e+001, 1.41113e+001, 9.62718e-001,-9.76496e-001,-2.36037e+000,-4.62153e+000,-5.05844e+000
0,2,0.02,0.00,0,0,49136244.200,133856.2442,47.6,-2.39098e+002,2.54251e+002,1.73379e+002,7.03819e+001,1.72603e+002,1.32736e+002,4.57478e+002,8.53646e+002,5.10491e+002,2.26061e+003, 1.71306e+002, 1.50716e+001, 7.97293e+000, 1.56050e+001, 1.23230e+001, 1.17636e+001, 2.36733e+000,-1.71314e+000,-1.70548e+000,-4.51397e+000,-5.03574e+000
0,3,0.03,0.00,0,0,49136344.200,133856.3442,47.3,-3.17826e+002,2.23441e+002,2.75692e+002,2.45144e+001,9.16014e+001,1.09490e+002,4.98797e+002,8.55171e+002,4.99033e+002,2.18182e+003, 1.50144e+002, 5.96477e+000, 6.38848e+000, 1.57243e+001, 1.18648e+001, 1.10708e+001, 3.14805e+000,-2.72272e+000,-9.05472e-001,-4.92066e+000,-4.92299e+000
0,4,0.04,0.00,0,0,49136444.200,133856.4442,47.4,-2.57189e+002,2.08588e+002,2.29123e+002,2.14749e+002,-4.54861e+001,2.51160e+002,4.68834e+002,7.82112e+002,4.75320e+002,2.09764e+003, 1.39912e+002, 4.52729e+001, 1.43014e+001, 1.43144e+001, 1.13626e+001, 1.34450e+001, 2.54668e+000,-2.26332e+000, 4.49931e-001,-4.62576e+000,-4.68961e+000
0,5,0.05,0.00,0,0,49136544.200,133856.5442,47.4,-2.92483e+002,1.70660e+002,1.24608e+002,2.29247e+002,-9.01990e+001,4.84743e+002,5.63767e+002,8.78891e+002,4.41061e+002,2.05855e+003, 1.13998e+002, 4.68707e+001, 2.80191e+001, 1.62965e+001, 1.11052e+001, 1.91998e+001, 2.89667e+000,-1.23154e+000, 8.92412e-001,-5.55982e+000,-4.35233e+000
0,6,0.06,0.00,0,0,49136644.200,133856.6442,47.4,-3.90190e+002,1.36074e+002,1.95220e+002,1.60920e+002,1.56623e+002,6.14257e+002,6.27692e+002,7.95116e+002,5.08792e+002,2.02212e+003, 9.06120e+001, 3.37155e+001, 3.68726e+001, 1.49005e+001, 1.09790e+001, 2.20436e+001, 3.86620e+000,-1.92875e+000,-1.54771e+000,-6.18829e+000,-5.01902e+000
0,7,0.07,0.00,0,0,49136744.200,133856.7442,47.1,-3.54104e+002,1.37313e+002,2.92883e+002,1.29603e+002,2.84053e+002,6.09588e+002,5.18894e+002,6.23324e+002,4.04889e+002,2.06688e+003, 9.14501e+001, 2.82914e+001, 3.73709e+001, 1.15188e+001, 1.11251e+001, 2.11593e+001, 3.50802e+000,-2.89225e+000,-2.80517e+000,-5.11842e+000,-3.99611e+000
0,8,0.08,0.00,0,0,49136844.200,133856.8442,46.9,-3.63882e+002,1.60633e+002,2.54131e+002,1.17446e+002,3.52719e+002,5.21700e+002,4.60367e+002,5.83562e+002,2.76105e+002,2.15754e+003, 1.07284e+002, 2.53564e+001, 3.23669e+001, 1.06846e+001, 1.14977e+001, 1.91050e+001, 3.60506e+000,-2.51005e+000,-3.48210e+000,-4.54241e+000,-2.72679e+000
0,9,0.09,0.00,0,0,49136944.200,133856.9442,47.4,-5.19285e+002,7.28940e+001,2.84952e+002,1.50859e+002,3.59968e+002,5.24835e+002,3.15193e+002,6.53518e+002,3.63899e+002,2.21258e+003, 4.81386e+001, 3.26704e+001, 3.26040e+001, 1.16716e+001, 1.18961e+001, 1.96366e+001, 5.14863e+000,-2.81404e+000,-3.55354e+000,-3.11222e+000,-3.59228e+000
0,10,0.10,0.00,0,0,49137044.200,133857.0442,46.9,-3.14645e+002,-1.95416e+001,3.10861e+002,2.26020e+002,3.71207e+002,5.72896e+002,3.86859e+002,7.33124e+002,3.53019e+002,2.29956e+003, 1.89129e-001, 4.87907e+001, 3.56524e+001, 1.32547e+001, 1.23731e+001, 2.14487e+001, 3.11650e+000,-3.06951e+000,-3.66429e+000,-3.81850e+000,-3.48506e+000
