Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,0,0.00,0.00,0,0,37725065.100,102845.0651,35.1,1.56960e+002,9.54222e+002,-2.61002e+002,1.37969e+003,-1.27073e+002,3.16523e+003,7.56651e+003,1.18030e+004,2.03066e+004,2.04343e+004, 6.82094e+002, 2.88553e+002, 1.99701e+002, 3.22590e+002, 2.36428e+002, 2.50980e+002,-1.55104e+000, 2.58449e+000, 1.25747e+000,-7.21295e+001,-1.82496e+002
0,1,0.16,0.00,0,0,37725165.100,102845.1651,34.5,1.56723e+002,8.00778e+002,1.51123e+002,1.34022e+003,-7.89225e+002,3.63947e+003,7.91229e+003,1.28716e+004,1.99125e+004,2.03890e+004, 5.66037e+002, 2.82900e+002, 2.30175e+002, 3.52960e+002, 2.31657e+002, 2.71096e+002,-1.54870e+000,-1.49340e+000, 7.83554e+000,-7.53017e+001,-1.79271e+002
0,2,0.32,0.00,0,0,37725265.000,102845.2650,36.4,6.90154e+001,7.68457e+002,2.87187e+002,1.41098e+003,-2.46803e+003,2.11418e+003,7.08118e+003,1.27086e+004,1.96848e+004,2.04673e+004, 5.26664e+002, 2.97902e+002, 1.27149e+002, 3.31718e+002, 2.26980e+002, 2.23843e+002,-6.82288e-001,-2.83608e+000, 2.47089e+001,-6.76595e+001,-1.77403e+002
0,3,0.49,0.00,0,0,37725365.100,102845.3651,36.6,1.43773e+000,6.42273e+002,2.29437e+002,1.82610e+003,-1.56719e+003,3.67038e+003,6.76090e+003,1.20153e+004,1.99173e+004,2.06347e+004, 4.37315e+002, 3.90322e+002, 2.30409e+002, 3.13500e+002, 2.32189e+002, 2.58329e+002,-1.42182e-002,-2.26642e+000, 1.56196e+001,-6.46983e+001,-1.79311e+002
0,4,0.65,0.00,0,0,37725465.000,102845.4650,36.8,-3.31564e+001,6.11620e+002,3.13637e+002,2.14453e+003,1.31984e+003,4.95515e+003,6.33112e+003,1.19473e+004,2.00315e+004,2.07641e+004, 4.21559e+002, 4.72268e+002, 3.49198e+002, 3.11367e+002, 2.37853e+002, 3.04112e+002, 3.27951e-001,-3.09688e+000,-1.29678e+001,-6.07104e+001,-1.80246e+002
0,5,0.81,0.00,0,0,37725565.100,102845.5651,36.8,-4.10117e+001,7.82917e+002,4.67330e+002,1.65784e+003,1.99809e+003,2.81968e+003,6.48765e+003,1.19556e+004,2.00032e+004,2.08527e+004, 5.44029e+002, 3.67271e+002, 2.06538e+002, 3.13492e+002, 2.38483e+002, 2.51161e+002, 4.05663e-001,-4.61096e+000,-1.95666e+001,-6.21647e+001,-1.80014e+002
0,6,0.97,0.00,0,0,37725665.100,102845.6651,34.5,-7.60414e+001,9.24478e+002,5.49722e+002,6.75822e+002,2.03637e+003,2.29148e+003,6.75042e+003,1.23638e+004,1.98831e+004,2.09004e+004, 6.45880e+002, 1.50226e+002, 1.69118e+002, 3.26266e+002, 2.38066e+002, 2.41130e+002, 7.52286e-001,-5.42168e+000,-1.99377e+001,-6.46013e+001,-1.79030e+002
0,7,1.14,0.00,0,0,37725765.100,102845.7651,38.5,-1.98228e+002,8.62488e+002,2.21589e+002,1.30086e+003,2.58226e+003,3.31628e+003,6.64425e+003,1.25320e+004,2.01129e+004,2.08753e+004, 6.02163e+002, 2.78712e+002, 2.52991e+002, 3.29172e+002, 2.39488e+002, 2.74156e+002, 1.96228e+000,-2.18898e+000,-2.52150e+001,-6.36175e+001,-1.80912e+002
0,8,1.30,0.00,0,0,37725865.100,102845.8651,36.2,-6.36992e+001,9.34226e+002,9.49378e+001,1.57932e+003,8.93193e+002,3.78930e+003,7.18372e+003,1.17491e+004,2.01658e+004,2.09604e+004, 6.53140e+002, 3.36119e+002, 2.57267e+002, 3.16769e+002, 2.40673e+002, 2.72027e+002, 6.30145e-001,-9.38437e-001,-8.79430e+000,-6.86057e+001,-1.81345e+002
0,9,1.46,0.00,0,0,37725965.100,102845.9651,37.5,6.38560e+001,8.89185e+002,4.50558e+002,1.39311e+003,-3.50441e+002,5.73189e+003,7.60357e+003,1.16923e+004,1.99773e+004,2.10494e+004, 6.24835e+002, 3.05767e+002, 3.76127e+002, 3.19459e+002, 2.39314e+002, 3.17370e+002,-6.31298e-001,-4.44584e+000, 3.47167e+000,-7.24700e+001,-1.79802e+002
0,10,1.62,0.00,0,0,37726065.100,102846.0651,38.3,2.69794e+001,7.51475e+002,7.01473e+002,1.85910e+003,4.02965e+002,5.94996e+003,7.28740e+003,1.23447e+004,1.99870e+004,2.11510e+004, 5.24052e+002, 4.22655e+002, 4.01874e+002, 3.33257e+002, 2.41169e+002, 3.32179e+002,-2.66774e-001,-6.91317e+000,-3.97716e+000,-6.95614e+001,-1.79882e+002
0,11,1.78,0.00,0,0,37726165.100,102846.1651,36.9,1.80844e+001,8.84957e+002,7.12372e+002,1.86740e+003,-5.38073e+002,6.05781e+003,7.03129e+003,1.27455e+004,1.99708e+004,2.15800e+004, 6.16637e+002, 4.22759e+002, 3.98041e+002, 3.38382e+002, 2.43776e+002, 3.33186e+002,-1.78828e-001,-7.02020e+000, 5.33541e+000,-6.71989e+001,-1.79749e+002
0,12,1.95,0.00,0,0,37726265.100,102846.2651,37.8,9.31251e+001,8.85638e+002,4.49570e+002,2.38847e+003,-2.47156e+003,6.92285e+003,7.13732e+003,1.33354e+004,2.01609e+004,2.15154e+004, 6.11841e+002, 5.21730e+002, 4.52876e+002, 3.48504e+002, 2.39925e+002, 3.56089e+002,-9.20527e-001,-4.43611e+000, 2.47446e+001,-6.81777e+001,-1.81305e+002
