Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,0,0.00,0.00,0,0,47834287.800,131714.2878,59.0,-2.31919e+002,9.49978e+002,7.15027e+002,1.65926e+003,4.99459e+002,4.79448e+003,7.58951e+003,1.38829e+004,2.24419e+004,2.49060e+004, 6.87955e+002, 3.89667e+002, 3.31950e+002, 3.90546e+002, 3.04726e+002, 3.43298e+002, 2.29765e+000,-7.05080e+000,-4.93035e+000,-7.23858e+001,-1.99885e+002
0,1,0.08,0.00,0,0,47834387.800,131714.3878,58.8,-4.70120e+001,9.52269e+002,7.44979e+002,1.76335e+003,-2.10192e+002,4.08826e+003,7.64594e+003,1.35797e+004,2.24049e+004,2.49073e+004, 6.87463e+002, 4.14763e+002, 2.70904e+002, 3.82291e+002, 3.03776e+002, 3.17261e+002, 4.65328e-001,-7.34507e+000, 2.08218e+000,-7.29044e+001,-1.99588e+002
0,2,0.17,0.00,0,0,47834487.800,131714.4878,58.5,-1.88347e+002,1.00555e+003,8.69707e+002,2.26320e+003,1.37385e+003,4.52838e+003,7.21662e+003,1.37552e+004,2.22121e+004,2.50264e+004, 7.29835e+002, 5.41841e+002, 3.29867e+002, 3.81662e+002, 3.03884e+002, 3.39336e+002, 1.86558e+000,-8.56955e+000,-1.35035e+001,-6.89520e+001,-1.98041e+002
0,3,0.25,0.00,0,0,47834587.800,131714.5878,59.4,-2.35960e+002,1.11272e+003,4.67171e+002,2.15240e+003,2.15776e+003,4.42215e+003,6.80630e+003,1.39572e+004,2.21159e+004,2.50240e+004, 8.10965e+002, 4.96679e+002, 3.38070e+002, 3.81287e+002, 3.03005e+002, 3.42051e+002, 2.33774e+000,-4.61236e+000,-2.11271e+001,-6.51592e+001,-1.97268e+002
0,4,0.33,0.00,0,0,47834687.800,131714.6878,59.7,-7.87373e+001,9.77969e+002,1.22457e+002,1.83045e+003,2.23063e+003,5.18922e+003,6.67561e+003,1.40271e+004,2.21448e+004,2.49023e+004, 7.07656e+002, 4.06450e+002, 3.99159e+002, 3.81370e+002, 3.02046e+002, 3.64850e+002, 7.79470e-001,-1.21107e+000,-2.18328e+001,-6.39481e+001,-1.97500e+002
0,5,0.42,0.00,0,0,47834787.800,131714.7878,59.2,-2.22647e+002,6.44141e+002,2.60896e+002,1.70182e+003,1.41199e+003,7.89218e+003,6.72710e+003,1.34515e+004,2.22291e+004,2.47688e+004, 4.59941e+002, 3.81951e+002, 5.90018e+002, 3.66251e+002, 3.01462e+002, 4.31718e+002, 2.20569e+000,-2.57844e+000,-1.38758e+001,-6.44255e+001,-1.98177e+002
0,6,0.50,0.00,0,0,47834887.800,131714.8878,59.1,-2.99714e+002,6.41854e+002,4.55315e+001,1.67202e+003,1.00596e+003,8.80052e+003,6.78201e+003,1.28763e+004,2.22308e+004,2.47626e+004, 4.58246e+002, 3.66911e+002, 6.50078e+002, 3.51396e+002, 3.01415e+002, 4.49471e+002, 2.97031e+000,-4.50468e-001,-9.90545e+000,-6.49342e+001,-1.98191e+002
0,7,0.59,0.00,0,0,47834987.800,131714.9878,59.0,-2.32183e+002,9.50998e+002,-5.70851e+001,1.88042e+003,1.13161e+003,6.99287e+003,7.27631e+003,1.31836e+004,2.20897e+004,2.47729e+004, 6.88722e+002, 4.12805e+002, 5.12321e+002, 3.66950e+002, 3.00268e+002, 4.02278e+002, 2.30027e+000, 5.65061e-001,-1.11358e+001,-6.95025e+001,-1.97057e+002
0,8,0.67,0.00,0,0,47835087.800,131715.0878,59.0,-1.86438e+002,1.03692e+003,1.02936e+002,2.36462e+003,7.29668e+002,6.41566e+003,7.68006e+003,1.33201e+004,2.20986e+004,2.48518e+004, 7.53533e+002, 5.30860e+002, 4.58092e+002, 3.76501e+002, 3.01133e+002, 3.85217e+002, 1.84665e+000,-1.01811e+000,-7.19465e+000,-7.32178e+001,-1.97128e+002
0,9,0.75,0.00,0,0,47835187.800,131715.1878,59.7,-1.99243e+002,9.61957e+002,3.15266e+002,2.56606e+003,1.78842e+003,5.91780e+003,7.50452e+003,1.35098e+004,2.23236e+004,2.48611e+004, 6.96974e+002, 5.88759e+002, 4.45305e+002, 3.79129e+002, 3.03223e+002, 3.81870e+002, 1.97361e+000,-3.11494e+000,-1.75426e+001,-7.16042e+001,-1.98936e+002
