Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_63030Hz,Q_63030Hz,I_69510Hz,Q_69510Hz,I_76590Hz,Q_76590Hz,I_84450Hz,Q_84450Hz,I_93090Hz,Q_93090Hz,EC63030Hz[mS/m],EC69510Hz[mS/m],EC76590Hz[mS/m],EC84450Hz[mS/m],EC93090Hz[mS/m],TotalEC[mS/m],MSusc63030Hz[1/1000],MSusc69510Hz[1/1000],MSusc76590Hz[1/1000],MSusc84450Hz[1/1000],MSusc93090Hz[1/1000]
0,0,0.00,0.00,0,0,37596990.800,102636.9908,144.6,5.71490e+004,2.24523e+004,6.08193e+004,1.75223e+004,6.39972e+004,1.54440e+004,6.61037e+004,1.59980e+004,6.61717e+004,2.29023e+004, 7.24070e+002, 6.61308e+002, 6.32846e+002, 6.05853e+002, 6.23833e+002, 7.24070e+002,-4.40649e+002,-4.62406e+002,-4.80759e+002,-4.92685e+002,-4.93067e+002
0,1,-0.43,0.00,0,0,37597090.800,102637.0908,142.4,5.61187e+004,2.21281e+004,6.08305e+004,1.75452e+004,6.40689e+004,1.52022e+004,6.59108e+004,1.60498e+004,6.64015e+004,2.25993e+004, 6.98992e+002, 6.61843e+002, 6.31080e+002, 6.02921e+002, 6.24710e+002, 6.98992e+002,-4.34430e+002,-4.62471e+002,-4.81168e+002,-4.91601e+002,-4.94356e+002
0,2,-0.87,0.00,0,0,37597190.800,102637.1908,137.7,5.53140e+004,2.14714e+004,6.05836e+004,1.75035e+004,6.37735e+004,1.54552e+004,6.57941e+004,1.60396e+004,6.63546e+004,2.26982e+004, 6.74208e+002, 6.56413e+002, 6.28706e+002, 6.00659e+002, 6.24907e+002, 6.74208e+002,-4.29539e+002,-4.61027e+002,-4.79481e+002,-4.90944e+002,-4.94093e+002
0,3,-1.30,0.00,0,0,37597290.800,102637.2908,134.6,5.49940e+004,2.03759e+004,6.03347e+004,1.75391e+004,6.33867e+004,1.55895e+004,6.57311e+004,1.61964e+004,6.60741e+004,2.29359e+004, 6.52742e+002, 6.52032e+002, 6.23084e+002, 6.01402e+002, 6.22501e+002, 6.52742e+002,-4.27585e+002,-4.59568e+002,-4.77267e+002,-4.90589e+002,-4.92519e+002
0,4,-1.74,0.00,0,0,37597390.800,102637.3908,135.1,5.49174e+004,1.91215e+004,6.03183e+004,1.75249e+004,6.34760e+004,1.56485e+004,6.52773e+004,1.61465e+004,6.56409e+004,2.28256e+004, 6.33512e+002, 6.51518e+002, 6.25540e+002, 6.04893e+002, 6.14027e+002, 6.33512e+002,-4.27116e+002,-4.59472e+002,-4.77779e+002,-4.88029e+002,-4.90081e+002
0,5,-2.17,0.00,0,0,37597490.800,102637.4908,133.3,5.53279e+004,1.79873e+004,5.99901e+004,1.71149e+004,6.31566e+004,1.53174e+004,6.47345e+004,1.57390e+004,6.51157e+004,2.26786e+004, 6.24901e+002, 6.39642e+002, 6.15225e+002, 5.90388e+002, 6.13252e+002, 6.24901e+002,-4.29623e+002,-4.57543e+002,-4.75947e+002,-4.84955e+002,-4.87115e+002
0,6,-2.61,0.00,0,0,37597590.800,102637.5908,139.8,5.62870e+004,1.74109e+004,5.92925e+004,1.65434e+004,6.26702e+004,1.51014e+004,6.44753e+004,1.55541e+004,6.47562e+004,2.25315e+004, 6.34730e+002, 6.18508e+002, 6.03341e+002, 5.83623e+002, 6.05838e+002, 6.34730e+002,-4.35449e+002,-4.53429e+002,-4.73149e+002,-4.83482e+002,-4.85078e+002
0,7,-3.04,0.00,0,0,37597690.800,102637.6908,145.6,5.73381e+004,1.79022e+004,5.91032e+004,1.66654e+004,6.22621e+004,1.52674e+004,6.42817e+004,1.56569e+004,6.46786e+004,2.25620e+004, 6.62488e+002, 6.16611e+002, 5.97939e+002, 5.81427e+002, 6.04863e+002, 6.62488e+002,-4.41785e+002,-4.52309e+002,-4.70793e+002,-4.82381e+002,-4.84637e+002
0,8,-3.48,0.00,0,0,37597790.800,102637.7908,143.0,5.80204e+004,1.90803e+004,5.84508e+004,1.69915e+004,6.17975e+004,1.56590e+004,6.39771e+004,1.58053e+004,6.43733e+004,2.27500e+004, 6.93473e+002, 6.08885e+002, 5.94456e+002, 5.77840e+002, 6.01714e+002, 6.93473e+002,-4.45870e+002,-4.48436e+002,-4.68102e+002,-4.80644e+002,-4.82902e+002
0,9,-3.91,0.00,0,0,37597890.800,102637.8908,136.2,5.76690e+004,2.04354e+004,5.78084e+004,1.69164e+004,6.13011e+004,1.58012e+004,6.34917e+004,1.59163e+004,6.38624e+004,2.28029e+004, 7.05956e+002, 5.96094e+002, 5.87281e+002, 5.70720e+002, 5.93926e+002, 7.05956e+002,-4.43768e+002,-4.44603e+002,-4.65217e+002,-4.77869e+002,-4.79989e+002
0,10,-4.35,0.00,0,0,37597990.800,102637.9908,134.6,5.61729e+004,2.11732e+004,5.73425e+004,1.66412e+004,6.06001e+004,1.51934e+004,6.26542e+004,1.57841e+004,6.29774e+004,2.24536e+004, 6.86635e+002, 5.83979e+002, 5.67065e+002, 5.54888e+002, 5.76321e+002, 6.86635e+002,-4.34758e+002,-4.41811e+002,-4.61123e+002,-4.73056e+002,-4.74917e+002
0,11,-4.78,0.00,0,0,37598090.800,102638.0908,137.6,5.41617e+004,2.17339e+004,5.65391e+004,1.64563e+004,5.96710e+004,1.44558e+004,6.14644e+004,1.55981e+004,6.20238e+004,2.23870e+004, 6.56161e+002, 5.67279e+002, 5.41525e+002, 5.32945e+002, 5.60737e+002, 6.56161e+002,-4.22481e+002,-4.36973e+002,-4.55664e+002,-4.66167e+002,-4.69414e+002
0,12,-5.22,0.00,0,0,37598190.800,102638.1908,128.4,5.19252e+004,2.21129e+004,5.56670e+004,1.63273e+004,5.86904e+004,1.43649e+004,6.03677e+004,1.55388e+004,6.08493e+004,2.23376e+004, 6.21217e+002, 5.50509e+002, 5.23807e+002, 5.14560e+002, 5.42328e+002, 6.21217e+002,-4.08599e+002,-4.31688e+002,-4.49860e+002,-4.59761e+002,-4.62581e+002
0,13,-5.65,0.00,0,0,37598290.800,102638.2908,118.2,4.87100e+004,2.12362e+004,5.37233e+004,1.61392e+004,5.70527e+004,1.46802e+004,5.87716e+004,1.52150e+004,5.91375e+004,2.23779e+004, 5.59453e+002, 5.15911e+002, 5.01091e+002, 4.86017e+002, 5.17499e+002, 5.59453e+002,-3.88210e+002,-4.19779e+002,-4.40069e+002,-4.50343e+002,-4.52512e+002
0,14,-6.09,0.00,0,0,37598390.800,102638.3908,111.5,4.55022e+004,1.91263e+004,5.08648e+004,1.60314e+004,5.40456e+004,1.46040e+004,5.58984e+004,1.48097e+004,5.64574e+004,2.22622e+004, 4.83027e+002, 4.73914e+002, 4.54366e+002, 4.39511e+002, 4.79074e+002, 4.83027e+002,-3.67340e+002,-4.01932e+002,-4.21766e+002,-4.33094e+002,-4.36480e+002
0,15,-6.52,0.00,0,0,37598490.800,102638.4908,115.2,4.34102e+004,1.73248e+004,4.78325e+004,1.56148e+004,5.08390e+004,1.41702e+004,5.26890e+004,1.48639e+004,5.30611e+004,2.18350e+004, 4.30430e+002, 4.26070e+002, 4.07859e+002, 3.97429e+002, 4.31630e+002, 4.30430e+002,-3.53436e+002,-3.82554e+002,-4.01769e+002,-4.13367e+002,-4.15680e+002
