Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_63030Hz,Q_63030Hz,I_69510Hz,Q_69510Hz,I_76590Hz,Q_76590Hz,I_84450Hz,Q_84450Hz,I_93090Hz,Q_93090Hz,QSum
 0,   0,        0.00,        0.00,   0,0, 37596990.800,102636.9908,  144.6, 5.71490e+004, 2.24523e+004, 6.08193e+004, 1.75223e+004, 6.39972e+004, 1.54440e+004, 6.61037e+004, 1.59980e+004, 6.61717e+004, 2.29023e+004, 9.43189e+004
 0,   1,       -0.43,        0.00,   0,0, 37597090.800,102637.0908,  142.4, 5.61187e+004, 2.21281e+004, 6.08305e+004, 1.75452e+004, 6.40689e+004, 1.52022e+004, 6.59108e+004, 1.60498e+004, 6.64015e+004, 2.25993e+004, 9.35246e+004
 0,   2,       -0.87,        0.00,   0,0, 37597190.800,102637.1908,  137.7, 5.53140e+004, 2.14714e+004, 6.05836e+004, 1.75035e+004, 6.37735e+004, 1.54552e+004, 6.57941e+004, 1.60396e+004, 6.63546e+004, 2.26982e+004, 9.31678e+004
 0,   3,       -1.30,        0.00,   0,0, 37597290.800,102637.2908,  134.6, 5.49940e+004, 2.03759e+004, 6.03347e+004, 1.75391e+004, 6.33867e+004, 1.55895e+004, 6.57311e+004, 1.61964e+004, 6.60741e+004, 2.29359e+004, 9.26367e+004
 0,   4,       -1.74,        0.00,   0,0, 37597390.800,102637.3908,  135.1, 5.49174e+004, 1.91215e+004, 6.03183e+004, 1.75249e+004, 6.34760e+004, 1.56485e+004, 6.52773e+004, 1.61465e+004, 6.56409e+004, 2.28256e+004, 9.12670e+004
 0,   5,       -2.17,        0.00,   0,0, 37597490.800,102637.4908,  133.3, 5.53279e+004, 1.79873e+004, 5.99901e+004, 1.71149e+004, 6.31566e+004, 1.53174e+004, 6.47345e+004, 1.57390e+004, 6.51157e+004, 2.26786e+004, 8.88372e+004
 0,   6,       -2.61,        0.00,   0,0, 37597590.800,102637.5908,  139.8, 5.62870e+004, 1.74109e+004, 5.92925e+004, 1.65434e+004, 6.26702e+004, 1.51014e+004, 6.44753e+004, 1.55541e+004, 6.47562e+004, 2.25315e+004, 8.71413e+004
 0,   7,       -3.04,        0.00,   0,0, 37597690.800,102637.6908,  145.6, 5.73381e+004, 1.79022e+004, 5.91032e+004, 1.66654e+004, 6.22621e+004, 1.52674e+004, 6.42817e+004, 1.56569e+004, 6.46786e+004, 2.25620e+004, 8.80538e+004
 0,   8,       -3.48,        0.00,   0,0, 37597790.800,102637.7908,  143.0, 5.80204e+004, 1.90803e+004, 5.84508e+004, 1.69915e+004, 6.17975e+004, 1.56590e+004, 6.39771e+004, 1.58053e+004, 6.43733e+004, 2.27500e+004, 9.02861e+004
 0,   9,       -3.91,        0.00,   0,0, 37597890.800,102637.8908,  136.2, 5.76690e+004, 2.04354e+004, 5.78084e+004, 1.69164e+004, 6.13011e+004, 1.58012e+004, 6.34917e+004, 1.59163e+004, 6.38624e+004, 2.28029e+004, 9.18723e+004
 0,  10,       -4.35,        0.00,   0,0, 37597990.800,102637.9908,  134.6, 5.61729e+004, 2.11732e+004, 5.73425e+004, 1.66412e+004, 6.06001e+004, 1.51934e+004, 6.26542e+004, 1.57841e+004, 6.29774e+004, 2.24536e+004, 9.12454e+004
 0,  11,       -4.78,        0.00,   0,0, 37598090.800,102638.0908,  137.6, 5.41617e+004, 2.17339e+004, 5.65391e+004, 1.64563e+004, 5.96710e+004, 1.44558e+004, 6.14644e+004, 1.55981e+004, 6.20238e+004, 2.23870e+004, 9.06311e+004
 0,  12,       -5.22,        0.00,   0,0, 37598190.800,102638.1908,  128.4, 5.19252e+004, 2.21129e+004, 5.56670e+004, 1.63273e+004, 5.86904e+004, 1.43649e+004, 6.03677e+004, 1.55388e+004, 6.08493e+004, 2.23376e+004, 9.06815e+004
 0,  13,       -5.65,        0.00,   0,0, 37598290.800,102638.2908,  118.2, 4.87100e+004, 2.12362e+004, 5.37233e+004, 1.61392e+004, 5.70527e+004, 1.46802e+004, 5.87716e+004, 1.52150e+004, 5.91375e+004, 2.23779e+004, 8.96485e+004
