Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 0,   0,        0.00,        0.00,   0,0, 37725065.100,102845.0651,   35.1, 1.56960e+002, 9.54222e+002,-2.61002e+002, 1.37969e+003,-1.27073e+002, 3.16523e+003, 7.56651e+003, 1.18030e+004, 2.03066e+004, 2.04343e+004, 3.77364e+004
 0,   1,        0.16,        0.00,   0,0, 37725165.100,102845.1651,   34.5, 1.56723e+002, 8.00778e+002, 1.51123e+002, 1.34022e+003,-7.89225e+002, 3.63947e+003, 7.91229e+003, 1.28716e+004, 1.99125e+004, 2.03890e+004, 3.90410e+004
 0,   2,        0.32,        0.00,   0,0, 37725265.000,102845.2650,   36.4, 6.90154e+001, 7.68457e+002, 2.87187e+002, 1.41098e+003,-2.46803e+003, 2.11418e+003, 7.08118e+003, 1.27086e+004, 1.96848e+004, 2.04673e+004, 3.74695e+004
 0,   3,        0.49,        0.00,   0,0, 37725365.100,102845.3651,   36.6, 1.43773e+000, 6.42273e+002, 2.29437e+002, 1.82610e+003,-1.56719e+003, 3.67038e+003, 6.76090e+003, 1.20153e+004, 1.99173e+004, 2.06347e+004, 3.87888e+004
 0,   4,        0.65,        0.00,   0,0, 37725465.000,102845.4650,   36.8,-3.31564e+001, 6.11620e+002, 3.13637e+002, 2.14453e+003, 1.31984e+003, 4.95515e+003, 6.33112e+003, 1.19473e+004, 2.00315e+004, 2.07641e+004, 4.04227e+004
 0,   5,        0.81,        0.00,   0,0, 37725565.100,102845.5651,   36.8,-4.10117e+001, 7.82917e+002, 4.67330e+002, 1.65784e+003, 1.99809e+003, 2.81968e+003, 6.48765e+003, 1.19556e+004, 2.00032e+004, 2.08527e+004, 3.80688e+004
 0,   6,        0.97,        0.00,   0,0, 37725665.100,102845.6651,   34.5,-7.60414e+001, 9.24478e+002, 5.49722e+002, 6.75822e+002, 2.03637e+003, 2.29148e+003, 6.75042e+003, 1.23638e+004, 1.98831e+004, 2.09004e+004, 3.71560e+004
 0,   7,        1.14,        0.00,   0,0, 37725765.100,102845.7651,   38.5,-1.98228e+002, 8.62488e+002, 2.21589e+002, 1.30086e+003, 2.58226e+003, 3.31628e+003, 6.64425e+003, 1.25320e+004, 2.01129e+004, 2.08753e+004, 3.88870e+004
 0,   8,        1.30,        0.00,   0,0, 37725865.100,102845.8651,   36.2,-6.36992e+001, 9.34226e+002, 9.49378e+001, 1.57932e+003, 8.93193e+002, 3.78930e+003, 7.18372e+003, 1.17491e+004, 2.01658e+004, 2.09604e+004, 3.90124e+004
 0,   9,        1.46,        0.00,   0,0, 37725965.100,102845.9651,   37.5, 6.38560e+001, 8.89185e+002, 4.50558e+002, 1.39311e+003,-3.50441e+002, 5.73189e+003, 7.60357e+003, 1.16923e+004, 1.99773e+004, 2.10494e+004, 4.07559e+004
 0,  10,        1.62,        0.00,   0,0, 37726065.100,102846.0651,   38.3, 2.69794e+001, 7.51475e+002, 7.01473e+002, 1.85910e+003, 4.02965e+002, 5.94996e+003, 7.28740e+003, 1.23447e+004, 1.99870e+004, 2.11510e+004, 4.20563e+004
 0,  11,        1.78,        0.00,   0,0, 37726165.100,102846.1651,   36.9, 1.80844e+001, 8.84957e+002, 7.12372e+002, 1.86740e+003,-5.38073e+002, 6.05781e+003, 7.03129e+003, 1.27455e+004, 1.99708e+004, 2.15800e+004, 4.31357e+004
 0,  12,        1.95,        0.00,   0,0, 37726265.100,102846.2651,   37.8, 9.31251e+001, 8.85638e+002, 4.49570e+002, 2.38847e+003,-2.47156e+003, 6.92285e+003, 7.13732e+003, 1.33354e+004, 2.01609e+004, 2.15154e+004, 4.50477e+004
 0,  13,        2.11,        0.00,   0,0, 37726365.100,102846.3651,   36.4, 8.85647e+001, 7.47593e+002, 2.06474e+002, 2.61282e+003,-1.29724e+003, 8.09481e+003, 7.21946e+003, 1.25265e+004, 2.04129e+004, 2.11689e+004, 4.51506e+004
 0,  14,        2.27,        0.00,   0,0, 37726465.100,102846.4651,   37.6,-7.64367e+001, 7.94218e+002,-3.82322e+002, 2.31647e+003, 1.65869e+003, 7.24107e+003, 7.07072e+003, 1.20524e+004, 2.01671e+004, 2.12238e+004, 4.36280e+004
 0,  15,        2.43,        0.00,   0,0, 37726565.100,102846.5651,   36.8,-2.05634e+002, 8.07506e+002,-7.31924e+002, 2.23515e+003, 3.36922e+003, 4.72809e+003, 6.52679e+003, 1.25617e+004, 1.99382e+004, 2.14363e+004, 4.17687e+004
 0,  16,        2.59,        0.00,   0,0, 37726665.100,102846.6651,   40.2,-1.60240e+002, 7.62502e+002,-6.00353e+002, 2.00922e+003, 3.10864e+003, 4.93854e+003, 6.49912e+003, 1.21144e+004, 1.99438e+004, 2.16953e+004, 4.15200e+004
 0,  17,        2.76,        0.00,   0,0, 37726765.100,102846.7651,   40.8,-8.19919e+001, 7.76740e+002,-2.84612e+002, 1.48162e+003, 2.31147e+003, 5.82945e+003, 6.75558e+003, 1.18391e+004, 1.98551e+004, 2.15782e+004, 4.15051e+004
 0,  18,        2.92,        0.00,   0,0, 37726865.100,102846.8651,   38.5,-8.33965e+001, 7.89710e+002,-3.57240e+002, 1.27655e+003, 1.55616e+003, 4.87226e+003, 6.66063e+003, 1.22228e+004, 1.97615e+004, 2.17300e+004, 4.08913e+004
 0,  19,        3.08,        0.00,   0,0, 37726965.100,102846.9651,   40.4,-1.82141e+002, 6.11509e+002,-3.86813e+002, 1.57681e+003, 5.07514e+002, 5.41966e+003, 6.15068e+003, 1.27922e+004, 1.95562e+004, 2.21653e+004, 4.25655e+004
 0,  20,        3.24,        0.00,   0,0, 37727065.100,102847.0651,   39.6,-1.93279e+002, 6.17052e+002,-2.98258e+002, 1.44003e+003, 1.22247e+003, 5.56782e+003, 5.93023e+003, 1.24447e+004, 1.93520e+004, 2.21005e+004, 4.21701e+004
