Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 0,   0,        0.00,        0.00,   0,0, 47834287.800,131714.2878,   59.0,-2.31919e+002, 9.49978e+002, 7.15027e+002, 1.65926e+003, 4.99459e+002, 4.79448e+003, 7.58951e+003, 1.38829e+004, 2.24419e+004, 2.49060e+004, 4.61926e+004
 0,   1,        0.08,        0.00,   0,0, 47834387.800,131714.3878,   58.8,-4.70120e+001, 9.52269e+002, 7.44979e+002, 1.76335e+003,-2.10192e+002, 4.08826e+003, 7.64594e+003, 1.35797e+004, 2.24049e+004, 2.49073e+004, 4.52909e+004
 0,   2,        0.17,        0.00,   0,0, 47834487.800,131714.4878,   58.5,-1.88347e+002, 1.00555e+003, 8.69707e+002, 2.26320e+003, 1.37385e+003, 4.52838e+003, 7.21662e+003, 1.37552e+004, 2.22121e+004, 2.50264e+004, 4.65786e+004
 0,   3,        0.25,        0.00,   0,0, 47834587.800,131714.5878,   59.4,-2.35960e+002, 1.11272e+003, 4.67171e+002, 2.15240e+003, 2.15776e+003, 4.42215e+003, 6.80630e+003, 1.39572e+004, 2.21159e+004, 2.50240e+004, 4.66684e+004
 0,   4,        0.33,        0.00,   0,0, 47834687.800,131714.6878,   59.7,-7.87373e+001, 9.77969e+002, 1.22457e+002, 1.83045e+003, 2.23063e+003, 5.18922e+003, 6.67561e+003, 1.40271e+004, 2.21448e+004, 2.49023e+004, 4.69270e+004
 0,   5,        0.42,        0.00,   0,0, 47834787.800,131714.7878,   59.2,-2.22647e+002, 6.44141e+002, 2.60896e+002, 1.70182e+003, 1.41199e+003, 7.89218e+003, 6.72710e+003, 1.34515e+004, 2.22291e+004, 2.47688e+004, 4.84585e+004
 0,   6,        0.50,        0.00,   0,0, 47834887.800,131714.8878,   59.1,-2.99714e+002, 6.41854e+002, 4.55315e+001, 1.67202e+003, 1.00596e+003, 8.80052e+003, 6.78201e+003, 1.28763e+004, 2.22308e+004, 2.47626e+004, 4.87532e+004
 0,   7,        0.59,        0.00,   0,0, 47834987.800,131714.9878,   59.0,-2.32183e+002, 9.50998e+002,-5.70851e+001, 1.88042e+003, 1.13161e+003, 6.99287e+003, 7.27631e+003, 1.31836e+004, 2.20897e+004, 2.47729e+004, 4.77808e+004
 0,   8,        0.67,        0.00,   0,0, 47835087.800,131715.0878,   59.0,-1.86438e+002, 1.03692e+003, 1.02936e+002, 2.36462e+003, 7.29668e+002, 6.41566e+003, 7.68006e+003, 1.33201e+004, 2.20986e+004, 2.48518e+004, 4.79890e+004
 0,   9,        0.75,        0.00,   0,0, 47835187.800,131715.1878,   59.7,-1.99243e+002, 9.61957e+002, 3.15266e+002, 2.56606e+003, 1.78842e+003, 5.91780e+003, 7.50452e+003, 1.35098e+004, 2.23236e+004, 2.48611e+004, 4.78167e+004
 0,  10,        0.84,        0.00,   0,0, 47835287.800,131715.2878,   59.7,-2.19316e+002, 8.79035e+002, 5.53370e+002, 2.47093e+003, 1.72495e+003, 4.08982e+003, 7.23881e+003, 1.38117e+004, 2.24027e+004, 2.46882e+004, 4.59397e+004
 0,  11,        0.92,        0.00,   0,0, 47835387.800,131715.3878,   59.3,-2.77619e+002, 7.06535e+002, 7.28310e+002, 2.24267e+003, 2.49833e+003, 4.24688e+003, 6.74294e+003, 1.36518e+004, 2.20431e+004, 2.46076e+004, 4.54554e+004
 0,  12,        1.00,        0.00,   0,0, 47835487.800,131715.4878,   59.8,-2.93634e+002, 7.44040e+002, 1.39045e+002, 1.72864e+003, 3.66279e+003, 4.69742e+003, 5.78572e+003, 1.33893e+004, 2.19024e+004, 2.47964e+004, 4.53558e+004
 0,  13,        1.09,        0.00,   0,0, 47835587.800,131715.5878,   59.9,-2.81158e+002, 1.02194e+003,-1.77811e+002, 1.58535e+003, 1.59230e+003, 4.30552e+003, 5.23113e+003, 1.37574e+004, 2.20866e+004, 2.51293e+004, 4.57994e+004
 0,  14,        1.17,        0.00,   0,0, 47835687.800,131715.6878,   59.8,-2.88646e+002, 1.12038e+003,-6.36828e+001, 1.90268e+003, 4.43932e+001, 4.96292e+003, 5.70651e+003, 1.37773e+004, 2.19879e+004, 2.52015e+004, 4.69647e+004
 0,  15,        1.26,        0.00,   0,0, 47835787.800,131715.7878,   59.7,-2.79315e+002, 1.03940e+003, 5.27383e+002, 2.17742e+003, 7.73226e+002, 4.84163e+003, 6.42102e+003, 1.37731e+004, 2.19175e+004, 2.51481e+004, 4.69797e+004
 0,  16,        1.34,        0.00,   0,0, 47835887.800,131715.8878,   59.2,-1.38137e+002, 1.01702e+003, 5.27839e+002, 1.68246e+003, 2.71172e+003, 4.10850e+003, 6.90614e+003, 1.38181e+004, 2.22523e+004, 2.51752e+004, 4.58013e+004
 0,  17,        1.42,        0.00,   0,0, 47835987.800,131715.9878,   58.8,-5.96098e+001, 9.72179e+002, 4.79983e+002, 1.03219e+003, 2.67902e+003, 4.15515e+003, 7.23444e+003, 1.40813e+004, 2.26463e+004, 2.50840e+004, 4.53248e+004
 0,  18,        1.51,        0.00,   0,0, 47836087.800,131716.0878,   58.8,-2.07982e+002, 9.24736e+002, 5.78244e+002, 1.83395e+003, 1.05171e+002, 4.18880e+003, 7.20378e+003, 1.41259e+004, 2.26492e+004, 2.49420e+004, 4.60154e+004
 0,  19,        1.59,        0.00,   0,0, 47836187.800,131716.1878,   58.9,-2.58883e+002, 1.06398e+003, 4.37256e+002, 2.28629e+003, 3.00529e+002, 4.76643e+003, 6.65764e+003, 1.37109e+004, 2.26415e+004, 2.48422e+004, 4.66698e+004
 0,  20,        1.67,        0.00,   0,0, 47836287.800,131716.2878,   59.2,-2.44898e+002, 1.01574e+003, 4.41166e+002, 1.84914e+003, 2.93863e+003, 4.91017e+003, 6.21312e+003, 1.40316e+004, 2.25537e+004, 2.46458e+004, 4.64524e+004
 0,  21,        1.76,        0.00,   0,0, 47836387.800,131716.3878,   59.5,-1.91945e+002, 9.75411e+002, 4.34001e+002, 2.21668e+003, 2.37120e+003, 5.84047e+003, 6.08036e+003, 1.36992e+004, 2.22562e+004, 2.47535e+004, 4.74852e+004
 0,  22,        1.84,        0.00,   0,0, 47836487.800,131716.4878,   59.4,-1.21384e+002, 1.19808e+003, 5.21177e+002, 2.49038e+003, 9.03404e+002, 5.31501e+003, 6.49442e+003, 1.29799e+004, 2.18522e+004, 2.48911e+004, 4.68745e+004
 0,  23,        1.92,        0.00,   0,0, 47836587.800,131716.5878,   58.7,-1.44856e+002, 1.00028e+003, 6.12851e+002, 2.29718e+003, 1.56978e+003, 5.26338e+003, 6.34121e+003, 1.33208e+004, 2.14465e+004, 2.46809e+004, 4.65625e+004
 0,  24,        2.01,        0.00,   0,0, 47836687.800,131716.6878,   59.5,-1.27474e+002, 9.84678e+002, 4.86948e+002, 1.84037e+003, 1.89732e+003, 5.36844e+003, 6.39034e+003, 1.38421e+004, 2.12232e+004, 2.47249e+004, 4.67606e+004
 0,  25,        2.09,        0.00,   0,0, 47836787.800,131716.7878,   57.7,-1.59426e+001, 9.70672e+002, 3.56011e+002, 1.41180e+003, 1.84223e+003, 3.38174e+003, 6.20604e+003, 1.40519e+004, 2.10661e+004, 2.49125e+004, 4.47286e+004
 0,  26,        2.18,        0.00,   0,0, 47836887.800,131716.8878,   60.7,-9.29003e+001, 7.63840e+002, 4.93949e+002, 8.80823e+002, 6.92230e+002, 1.65452e+003, 5.65571e+003, 1.38566e+004, 2.06854e+004, 2.46178e+004, 4.17736e+004
 0,  27,        2.26,        0.00,   0,0, 47836987.800,131716.9878,   59.4,-3.35899e+002, 9.13965e+002, 6.17652e+001, 9.68266e+002, 2.21387e+002, 4.71472e+003, 5.62317e+003, 1.35335e+004, 2.08158e+004, 2.46044e+004, 4.47348e+004
 0,  28,        2.34,        0.00,   0,0, 47837087.800,131717.0878,   60.1,-3.19564e+002, 1.07186e+003,-1.46310e+002, 1.49222e+003, 2.11020e+003, 6.92632e+003, 5.83741e+003, 1.29742e+004, 2.11465e+004, 2.48414e+004, 4.73060e+004
 0,  29,        2.43,        0.00,   0,0, 47837187.800,131717.1878,   60.1,-2.21361e+002, 8.64577e+002, 2.27656e+002, 1.89638e+003, 3.28892e+003, 5.42685e+003, 5.98839e+003, 1.28246e+004, 2.11395e+004, 2.46356e+004, 4.56480e+004
 0,  30,        2.51,        0.00,   0,0, 47837287.800,131717.2878,   59.8,-2.09360e+002, 7.47586e+002, 5.35426e+002, 1.87129e+003, 3.85047e+003, 5.35310e+003, 6.39731e+003, 1.32811e+004, 2.12050e+004, 2.44785e+004, 4.57317e+004
 0,  31,        2.59,        0.00,   0,0, 47837387.800,131717.3878,   60.7,-2.39603e+002, 8.43596e+002, 4.64341e+002, 1.78784e+003, 3.68782e+003, 3.91435e+003, 6.95253e+003, 1.34232e+004, 2.13439e+004, 2.46888e+004, 4.46578e+004
 0,  32,        2.68,        0.00,   0,0, 47837487.800,131717.4878,   61.1,-1.93644e+002, 8.10245e+002, 6.72604e+001, 1.81047e+003, 3.33887e+003, 2.19888e+003, 6.93572e+003, 1.30781e+004, 2.17541e+004, 2.47862e+004, 4.26839e+004
 0,  33,        2.76,        0.00,   0,0, 47837587.800,131717.5878,   61.9,-3.52230e+002, 1.04153e+003,-3.36863e+002, 1.99596e+003, 3.08186e+003, 2.77515e+003, 6.80069e+003, 1.35068e+004, 2.20950e+004, 2.46662e+004, 4.39857e+004
 0,  34,        2.85,        0.00,   0,0, 47837687.800,131717.6878,   61.8,-5.65115e+002, 1.36693e+003,-1.31310e+002, 1.99456e+003, 2.70649e+003, 3.14593e+003, 6.69533e+003, 1.31469e+004, 2.19172e+004, 2.41443e+004, 4.37986e+004
