Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,0,0.00,0.00,0,0,48819228.400,133339.2284,0.2,3.93465e+002,-1.01093e+002,-3.08082e+002,2.73152e+002,1.79501e+002,5.49870e+002,-2.12351e+002,1.76492e+003,1.59180e+003,6.68074e+003, 2.39126e+000, 5.42120e+001, 3.30729e+001, 3.12241e+001, 4.07536e+001, 3.47129e+001,-3.88358e+000, 3.05139e+000,-1.77358e+000, 2.10223e+000,-1.56190e+001
0,1,-0.28,0.00,0,0,48819328.400,133339.3284,0.2,4.41831e+002,-9.01401e+001,-3.51361e+002,2.59346e+002,1.86555e+002,5.51462e+002,-1.98241e+002,1.76808e+003,1.54260e+003,6.66596e+003, 3.10875e+000, 5.14129e+001, 3.32111e+001, 3.12829e+001, 4.05577e+001, 3.47271e+001,-4.35992e+000, 3.48080e+000,-1.84322e+000, 1.96241e+000,-1.51399e+001
0,2,-0.56,0.00,0,0,48819428.400,133339.4284,0.3,4.67104e+002,-1.05209e+002,-3.47672e+002,2.32584e+002,1.44860e+002,5.34141e+002,-1.58162e+002,1.83254e+003,1.49366e+003,6.67896e+003, 3.76405e+000, 4.60034e+001, 3.19130e+001, 3.24828e+001, 4.05382e+001, 3.46271e+001,-4.60873e+000, 3.44419e+000,-1.43155e+000, 1.56535e+000,-1.46631e+001
0,3,-0.84,0.00,0,0,48819528.400,133339.5284,0.3,4.27964e+002,-1.32797e+002,-3.78404e+002,2.16473e+002,1.05184e+002,5.18697e+002,-1.75633e+002,1.84671e+003,1.56676e+003,6.70746e+003, 2.88156e+000, 4.27555e+001, 3.07500e+001, 3.27468e+001, 4.08719e+001, 3.43730e+001,-4.22337e+000, 3.74920e+000,-1.03967e+000, 1.73841e+000,-1.53752e+001
0,4,-1.12,0.00,0,0,48819628.400,133339.6284,0.2,3.98191e+002,-1.42489e+002,-3.84561e+002,2.12135e+002,9.00925e+001,5.41552e+002,-2.23097e+002,1.86951e+003,1.62177e+003,6.70402e+003, 2.45211e+000, 4.18822e+001, 3.20404e+001, 3.31717e+001, 4.09646e+001, 3.50272e+001,-3.93013e+000, 3.81032e+000,-8.90564e-001, 2.20873e+000,-1.59107e+001
0,5,-1.40,0.00,0,0,48819728.400,133339.7284,0.4,4.15479e+002,-1.14393e+002,-3.44211e+002,2.00829e+002,8.79295e+001,5.54386e+002,-2.48036e+002,1.86813e+003,1.61569e+003,6.71356e+003, 2.69179e+000, 3.96088e+001, 3.28044e+001, 3.31457e+001, 4.10125e+001, 3.53210e+001,-4.10041e+000, 3.40984e+000,-8.69192e-001, 2.45594e+000,-1.58516e+001
0,6,-1.69,0.00,0,0,48819828.400,133339.8284,0.4,3.84299e+002,-1.00036e+002,-3.26496e+002,1.80337e+002,1.01134e+002,5.45942e+002,-2.23394e+002,1.83335e+003,1.59545e+003,6.79887e+003, 2.27896e+000, 3.54969e+001, 3.23722e+001, 3.24974e+001, 4.15129e+001, 3.50907e+001,-3.79328e+000, 3.23407e+000,-9.99654e-001, 2.21167e+000,-1.56545e+001
0,7,-1.97,0.00,0,0,48819928.400,133339.9284,0.4,3.09926e+002,-9.91228e+001,-3.16018e+002,1.62836e+002,1.08004e+002,5.84256e+002,-1.85792e+002,1.82277e+003,1.59752e+003,6.81335e+003, 1.64522e+000, 3.19940e+001, 3.47386e+001, 3.23006e+001, 4.16095e+001, 3.59471e+001,-3.06029e+000, 3.13012e+000,-1.06752e+000, 1.83906e+000,-1.56747e+001
0,8,-2.25,0.00,0,0,48820028.400,133340.0284,0.4,3.26807e+002,-1.00706e+002,-3.08662e+002,1.63791e+002,1.06766e+002,6.00295e+002,-1.69257e+002,1.80212e+003,1.60123e+003,6.82573e+003, 1.72436e+000, 3.21849e+001, 3.57057e+001, 3.19162e+001, 4.16962e+001, 3.62107e+001,-3.22671e+000, 3.05715e+000,-1.05529e+000, 1.67525e+000,-1.57108e+001
0,9,-2.53,0.00,0,0,48820128.400,133340.1284,0.2,3.68392e+002,-4.21197e+001,-3.42459e+002,1.95039e+002,9.60953e+001,5.47691e+002,-1.56689e+002,1.78326e+003,1.57182e+003,6.79800e+003, 2.10197e+000, 3.84459e+001, 3.24476e+001, 3.15654e+001, 4.14574e+001, 3.47956e+001,-3.63655e+000, 3.39246e+000,-9.49873e-001, 1.55076e+000,-1.54245e+001
