Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 0,   0,        0.00,        0.00,   0,0, 48819228.400,133339.2284,    0.2, 3.93465e+002,-1.01093e+002,-3.08082e+002, 2.73152e+002, 1.79501e+002, 5.49870e+002,-2.12351e+002, 1.76492e+003, 1.59180e+003, 6.68074e+003, 9.16759e+003
 0,   1,       -0.28,        0.00,   0,0, 48819328.400,133339.3284,    0.2, 4.41831e+002,-9.01401e+001,-3.51361e+002, 2.59346e+002, 1.86555e+002, 5.51462e+002,-1.98241e+002, 1.76808e+003, 1.54260e+003, 6.66596e+003, 9.15471e+003
 0,   2,       -0.56,        0.00,   0,0, 48819428.400,133339.4284,    0.3, 4.67104e+002,-1.05209e+002,-3.47672e+002, 2.32584e+002, 1.44860e+002, 5.34141e+002,-1.58162e+002, 1.83254e+003, 1.49366e+003, 6.67896e+003, 9.17302e+003
 0,   3,       -0.84,        0.00,   0,0, 48819528.400,133339.5284,    0.3, 4.27964e+002,-1.32797e+002,-3.78404e+002, 2.16473e+002, 1.05184e+002, 5.18697e+002,-1.75633e+002, 1.84671e+003, 1.56676e+003, 6.70746e+003, 9.15655e+003
 0,   4,       -1.12,        0.00,   0,0, 48819628.400,133339.6284,    0.2, 3.98191e+002,-1.42489e+002,-3.84561e+002, 2.12135e+002, 9.00925e+001, 5.41552e+002,-2.23097e+002, 1.86951e+003, 1.62177e+003, 6.70402e+003, 9.18473e+003
 0,   5,       -1.40,        0.00,   0,0, 48819728.400,133339.7284,    0.4, 4.15479e+002,-1.14393e+002,-3.44211e+002, 2.00829e+002, 8.79295e+001, 5.54386e+002,-2.48036e+002, 1.86813e+003, 1.61569e+003, 6.71356e+003, 9.22251e+003
 0,   6,       -1.69,        0.00,   0,0, 48819828.400,133339.8284,    0.4, 3.84299e+002,-1.00036e+002,-3.26496e+002, 1.80337e+002, 1.01134e+002, 5.45942e+002,-2.23394e+002, 1.83335e+003, 1.59545e+003, 6.79887e+003, 9.25846e+003
 0,   7,       -1.97,        0.00,   0,0, 48819928.400,133339.9284,    0.4, 3.09926e+002,-9.91228e+001,-3.16018e+002, 1.62836e+002, 1.08004e+002, 5.84256e+002,-1.85792e+002, 1.82277e+003, 1.59752e+003, 6.81335e+003, 9.28408e+003
 0,   8,       -2.25,        0.00,   0,0, 48820028.400,133340.0284,    0.4, 3.26807e+002,-1.00706e+002,-3.08662e+002, 1.63791e+002, 1.06766e+002, 6.00295e+002,-1.69257e+002, 1.80212e+003, 1.60123e+003, 6.82573e+003, 9.29123e+003
 0,   9,       -2.53,        0.00,   0,0, 48820128.400,133340.1284,    0.2, 3.68392e+002,-4.21197e+001,-3.42459e+002, 1.95039e+002, 9.60953e+001, 5.47691e+002,-1.56689e+002, 1.78326e+003, 1.57182e+003, 6.79800e+003, 9.28187e+003
 0,  10,       -2.81,        0.00,   0,0, 48820228.400,133340.2284,    0.3, 4.03393e+002,-1.79258e+001,-3.59272e+002, 2.05442e+002, 1.06109e+002, 5.36220e+002,-2.16716e+002, 1.78990e+003, 1.54198e+003, 6.77508e+003, 9.28872e+003
 0,  11,       -3.09,        0.00,   0,0, 48820328.400,133340.3284,    0.2, 3.80095e+002,-6.45137e+001,-3.18471e+002, 2.24689e+002, 1.35146e+002, 5.72251e+002,-2.79762e+002, 1.83562e+003, 1.58394e+003, 6.77886e+003, 9.34691e+003
 0,  12,       -3.37,        0.00,   0,0, 48820428.400,133340.4284,    0.4, 3.37978e+002,-6.66962e+001,-2.79864e+002, 2.56748e+002, 6.87836e+001, 6.23565e+002,-2.78960e+002, 1.84928e+003, 1.61404e+003, 6.78798e+003, 9.45088e+003
 0,  13,       -3.65,        0.00,   0,0, 48820528.400,133340.5284,    0.4, 3.78154e+002,-3.87606e+001,-2.67456e+002, 2.08376e+002, 2.76183e+001, 6.53953e+002,-2.96674e+002, 1.83023e+003, 1.56622e+003, 6.83207e+003, 9.48587e+003
 0,  14,       -3.93,        0.00,   0,0, 48820628.400,133340.6284,    0.1, 4.25505e+002,-9.41319e+001,-3.20144e+002, 1.96892e+002, 1.27322e+002, 6.24085e+002,-3.17414e+002, 1.82687e+003, 1.50214e+003, 6.79837e+003, 9.35208e+003
 0,  15,       -4.21,        0.00,   0,0, 48820728.400,133340.7284,    0.4, 4.36813e+002,-1.18413e+002,-3.44220e+002, 2.04560e+002, 1.92013e+002, 5.53248e+002,-3.22711e+002, 1.82001e+003, 1.49886e+003, 6.80319e+003, 9.26260e+003
 0,  16,       -4.49,        0.00,   0,0, 48820828.400,133340.8284,    0.5, 4.56116e+002,-1.15161e+002,-3.48317e+002, 1.97064e+002, 1.58341e+002, 5.29875e+002,-3.10077e+002, 1.81039e+003, 1.53114e+003, 6.83834e+003, 9.26052e+003
 0,  17,       -4.78,        0.00,   0,0, 48820928.400,133340.9284,    1.5, 4.32056e+002,-1.55903e+002,-3.72373e+002, 1.62348e+002, 1.29680e+002, 5.42606e+002,-2.73092e+002, 1.81245e+003, 1.52681e+003, 6.75910e+003, 9.12060e+003
 0,  18,       -5.06,        0.00,   0,0, 48821028.400,133341.0284,    1.5, 3.07670e+002,-1.05608e+002,-3.64659e+002, 1.19137e+002, 1.23151e+002, 5.49752e+002,-2.25547e+002, 1.80929e+003, 1.53419e+003, 6.72270e+003, 9.09528e+003
 0,  19,       -5.34,        0.00,   0,0, 48821128.400,133341.1284,    4.0, 3.73214e+002,-1.38762e+002,-2.66215e+002, 2.24083e+002, 1.18688e+002, 5.04487e+002,-2.47984e+002, 1.80635e+003, 1.49067e+003, 6.75472e+003, 9.15088e+003
 0,  20,       -5.62,        0.00,   0,0, 48821228.400,133341.2284,    5.1, 4.05346e+002,-1.69221e+002,-2.83641e+002, 2.17166e+002, 1.00802e+002, 4.98724e+002,-2.97006e+002, 1.82090e+003, 1.50594e+003, 6.76931e+003, 9.13688e+003
 0,  21,       -5.90,        0.00,   0,0, 48821328.400,133341.3284,    2.7, 1.64952e+002, 1.18031e+002,-4.26738e+002, 1.21284e+002, 1.15415e+002, 5.37959e+002,-2.71657e+002, 1.79829e+003, 1.54137e+003, 6.74762e+003, 9.32318e+003
 0,  22,       -6.18,        0.00,   0,0, 48821428.400,133341.4284,    0.4, 1.75844e+002, 2.07985e+002,-4.22141e+002, 1.01652e+002, 1.61534e+002, 5.53847e+002,-2.24934e+002, 1.77901e+003, 1.55430e+003, 6.74015e+003, 9.38264e+003
 0,  23,       -6.46,        0.00,   0,0, 48821528.400,133341.5284,    2.0, 3.72495e+002,-2.65473e+001,-3.31335e+002, 1.47120e+002, 1.34673e+002, 5.59696e+002,-1.93811e+002, 1.80784e+003, 1.62242e+003, 6.77208e+003, 9.26018e+003
 0,  24,       -6.74,        0.00,   0,0, 48821628.400,133341.6284,    1.6, 4.27691e+002,-1.65836e+002,-2.61279e+002, 2.19536e+002, 1.21482e+002, 5.55947e+002,-1.81035e+002, 1.83912e+003, 1.58819e+003, 6.77211e+003, 9.22087e+003
 0,  25,       -7.02,        0.00,   0,0, 48821728.400,133341.7284,   17.0, 4.67093e+002,-2.06668e+002,-2.58270e+002, 2.47693e+002, 1.33953e+002, 5.35742e+002,-1.87156e+002, 1.85112e+003, 1.53611e+003, 6.77667e+003, 9.20456e+003
 0,  26,       -7.30,        0.00,   0,0, 48821828.400,133341.8284,    7.1, 5.27202e+002,-1.87351e+002,-2.65704e+002, 2.65631e+002, 1.64382e+002, 5.29759e+002,-2.32129e+002, 1.83180e+003, 1.55045e+003, 6.80253e+003, 9.24237e+003
 0,  27,       -7.58,        0.00,   0,0, 48821928.400,133341.9284,    2.3, 4.43153e+002, 9.39946e+001,-3.05406e+002, 2.31407e+002, 1.85819e+002, 5.86082e+002,-2.67056e+002, 1.80133e+003, 1.58280e+003, 6.78003e+003, 9.49284e+003
 0,  28,       -7.87,        0.00,   0,0, 48822028.400,133342.0284,    1.4, 3.52534e+002, 1.91580e+001,-3.47384e+002, 1.63826e+002, 1.27986e+002, 5.66848e+002,-2.37425e+002, 1.78340e+003, 1.62252e+003, 6.75661e+003, 9.28985e+003
 0,  29,       -8.15,        0.00,   0,0, 48822128.400,133342.1284,    0.9, 3.46328e+002,-1.15528e+002,-3.34778e+002, 2.11423e+002, 7.07656e+001, 5.46040e+002,-2.00742e+002, 1.79393e+003, 1.58943e+003, 6.76590e+003, 9.20176e+003
 0,  30,       -8.43,        0.00,   0,0, 48822228.400,133342.2284,    2.0, 4.22566e+002,-1.26249e+002,-3.40636e+002, 1.53390e+002, 7.37432e+001, 5.68256e+002,-1.96221e+002, 1.78117e+003, 1.55041e+003, 6.84915e+003, 9.22571e+003
 0,  31,       -8.71,        0.00,   0,0, 48822328.400,133342.3284,    2.9, 4.60636e+002,-1.75501e+002,-3.47051e+002, 1.32749e+002, 1.15317e+002, 6.30628e+002,-1.97152e+002, 1.76445e+003, 1.62717e+003, 6.98225e+003, 9.33457e+003
 0,  32,       -8.99,        0.00,   0,0, 48822428.400,133342.4284,    4.2, 4.38327e+002,-2.16527e+002,-3.42964e+002, 1.85959e+002, 9.37950e+001, 6.42583e+002,-2.21813e+002, 1.81113e+003, 1.72574e+003, 7.11680e+003, 9.53994e+003
 0,  33,       -9.27,        0.00,   0,0, 48822528.400,133342.5284,    2.4, 4.13983e+002,-2.23818e+002,-3.43552e+002, 1.85453e+002, 1.14203e+002, 5.46380e+002,-2.22941e+002, 1.89267e+003, 1.71807e+003, 7.16192e+003, 9.56261e+003
