Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 0,   0,        0.00,        0.00,   0,0, 49299158.500,134139.1585,    0.2, 2.51283e+002,-8.26434e+001,-3.61133e+002, 3.07299e+002, 1.42015e+002, 6.13253e+002,-2.17169e+002, 1.94743e+003, 1.69485e+003, 7.13902e+003, 9.92436e+003
 0,   1,       -0.18,        0.00,   0,0, 49299258.500,134139.2585,    0.1, 2.44214e+002,-6.23903e+001,-3.26758e+002, 2.77398e+002, 1.58703e+002, 6.65411e+002,-1.64317e+002, 2.00998e+003, 1.65009e+003, 7.18582e+003, 1.00762e+004
 0,   2,       -0.37,        0.00,   0,0, 49299358.500,134139.3585,    0.2, 2.97623e+002,-8.90248e+001,-3.61087e+002, 2.74351e+002, 1.61975e+002, 7.04178e+002,-1.69538e+002, 2.04162e+003, 1.62648e+003, 7.22140e+003, 1.01525e+004
 0,   3,       -0.55,        0.00,   0,0, 49299458.500,134139.4585,    0.1, 3.24080e+002,-1.05021e+002,-3.97302e+002, 2.37867e+002, 1.31909e+002, 6.04959e+002,-2.04854e+002, 1.99655e+003, 1.66048e+003, 7.18839e+003, 9.92274e+003
 0,   4,       -0.74,        0.00,   0,0, 49299558.500,134139.5585,    0.3, 3.17411e+002,-7.99457e+001,-4.42906e+002, 1.67252e+002, 9.91950e+001, 5.03926e+002,-2.22510e+002, 1.97408e+003, 1.72439e+003, 7.20150e+003, 9.76682e+003
 0,   5,       -0.92,        0.00,   0,0, 49299658.500,134139.6585,    0.4, 2.90295e+002,-7.24346e+001,-4.49468e+002, 1.57712e+002, 9.11038e+001, 6.24280e+002,-2.21238e+002, 1.96589e+003, 1.74529e+003, 7.22510e+003, 9.90055e+003
 0,   6,       -1.10,        0.00,   0,0, 49299758.500,134139.7585,    0.6, 2.83941e+002,-1.35225e+002,-4.38503e+002, 1.82919e+002, 9.30996e+001, 7.18688e+002,-2.27031e+002, 1.96710e+003, 1.73952e+003, 7.21526e+003, 9.94874e+003
 0,   7,       -1.29,        0.00,   0,0, 49299858.500,134139.8585,    0.5, 2.95881e+002,-1.47437e+002,-3.93467e+002, 2.30668e+002, 6.67083e+001, 6.91423e+002,-2.10050e+002, 1.94694e+003, 1.68151e+003, 7.21050e+003, 9.93210e+003
 0,   8,       -1.47,        0.00,   0,0, 49299958.500,134139.9585,    0.2, 2.98254e+002,-1.45113e+002,-3.50429e+002, 2.92290e+002, 1.08355e+002, 6.55781e+002,-1.82277e+002, 1.90903e+003, 1.62995e+003, 7.16975e+003, 9.88174e+003
 0,   9,       -1.65,        0.00,   0,0, 49300058.500,134140.0585,    0.4, 3.28416e+002,-9.16171e+001,-3.69224e+002, 3.24879e+002, 1.58976e+002, 6.21250e+002,-1.97812e+002, 1.89637e+003, 1.65288e+003, 7.10886e+003, 9.85974e+003
