Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,3,727475.15,4335878.53,0,0,1,330.78,85471782.000,234431.7820,0.4,2.43909e+002,-2.16625e+001,1.24006e+002,-2.68360e+001,-1.73822e+002,3.74434e+002,-2.88581e+001,2.10828e+003,4.96929e+002,7.51890e+003, 1.80355e+000, 9.03943e-002, 2.25245e+001, 3.92927e+001, 4.56372e+001, 3.48231e+001,-2.41576e+000,-1.22893e+000, 1.72516e+000, 2.86207e-001,-4.91560e+000
0,4,727475.12,4335878.53,0,0,1,330.79,85471882.100,234431.8821,0.4,2.44872e+002,-4.20259e+001,3.43186e+001,-6.79751e+001,-2.28602e+002,3.83548e+002,-2.88128e+002,2.15477e+003,5.08855e+002,7.46800e+003, 1.81303e+000, 5.78580e-002, 2.30746e+001, 4.01938e+001, 4.53082e+001, 3.52315e+001,-2.42529e+000,-3.40257e-001, 2.26946e+000, 2.86126e+000,-5.03327e+000
0,5,727475.10,4335878.53,0,0,1,330.81,85471982.000,234431.9820,0.4,2.64819e+002,-8.97017e+001,2.81064e+001,-9.98414e+001,-2.27184e+002,4.08124e+002,-3.94614e+002,2.21931e+003,4.93454e+002,7.42307e+003, 1.95010e+000, 5.78588e-002, 2.45940e+001, 4.14648e+001, 4.49828e+001, 3.61287e+001,-2.62259e+000,-2.78673e-001, 2.25537e+000, 3.92079e+000,-4.88131e+000
0,6,727475.08,4335878.59,0,0,1,330.78,85472082.000,234432.0820,0.5,2.40208e+002,-8.75782e+001,1.09472e+002,-1.67409e+002,-1.60352e+002,4.15838e+002,-4.40712e+002,2.15271e+003,4.83189e+002,7.48302e+003, 1.76027e+000, 7.84887e-002, 2.50910e+001, 4.01788e+001, 4.53792e+001, 3.60083e+001,-2.37915e+000,-1.08497e+000, 1.59137e+000, 4.37981e+000,-4.78001e+000
0,7,727475.06,4335878.65,0,0,1,330.74,85472182.000,234432.1820,0.4,2.59608e+002,-5.36102e+001,9.59241e+001,-2.24400e+002,-1.65834e+002,4.30722e+002,-5.09577e+002,2.10347e+003,4.67598e+002,7.50948e+003, 1.93012e+000, 7.27851e-002, 2.60126e+001, 3.92073e+001, 4.55137e+001, 3.60751e+001,-2.57105e+000,-9.50763e-001, 1.64582e+000, 5.06593e+000,-4.62613e+000
0,8,727475.04,4335878.72,0,0,1,330.70,85472282.000,234432.2820,0.2,2.58170e+002,-8.65698e+001,7.20139e+001,-1.91116e+002,-2.05713e+002,4.50276e+002,-4.63398e+002,2.23709e+003,4.39259e+002,7.45986e+003, 1.92170e+000, 6.27711e-002, 2.72164e+001, 4.18238e+001, 4.51081e+001, 3.72733e+001,-2.55683e+000,-7.13859e-001, 2.04200e+000, 4.60579e+000,-4.34637e+000
0,9,727475.01,4335878.79,0,0,1,330.66,85472382.000,234432.3820,0.4,2.89175e+002,-9.60922e+001,1.12828e+002,-1.85038e+002,-2.14419e+002,4.19439e+002,-3.37845e+002,2.27770e+003,3.86545e+002,7.44373e+003, 1.66653e+000, 8.07786e-002, 2.53009e+001, 4.26327e+001, 4.48836e+001, 3.67515e+001,-2.86345e+000,-1.11821e+000, 2.12851e+000, 3.35580e+000,-3.82577e+000
0,10,727474.99,4335878.85,0,0,1,330.62,85472482.000,234432.4820,0.4,3.23685e+002,-6.86925e+000,1.32225e+002,-1.10301e+002,-2.05053e+002,4.49353e+002,-3.71648e+002,2.05998e+003,3.63494e+002,7.46679e+003, 1.78148e+000, 1.01451e-001, 2.71592e+001, 3.83397e+001, 4.49871e+001, 3.60675e+001,-3.20462e+000,-1.31033e+000, 2.03544e+000, 3.69219e+000,-3.59804e+000
0,11,727474.97,4335878.92,0,0,1,330.58,85472582.000,234432.5820,0.9,3.05076e+002,-1.38608e+001,1.14801e+002,-1.49490e+002,-1.92061e+002,4.82851e+002,-4.09504e+002,2.02215e+003,4.76966e+002,7.49783e+003, 1.70038e+000, 8.22850e-002, 2.92469e+001, 3.76028e+001, 4.54472e+001, 3.67471e+001,-3.02066e+000,-1.13776e+000, 1.90636e+000, 4.06904e+000,-4.71859e+000
0,12,727474.95,4335878.99,0,0,1,330.54,85472682.000,234432.6820,0.4,3.57500e+002,-9.38159e+001,1.29626e+002,-2.19717e+002,-1.81259e+002,4.47099e+002,-3.87945e+002,2.09090e+003,5.62001e+002,7.57980e+003, 2.08135e+000, 9.62589e-002, 2.70254e+001, 3.89555e+001, 4.61757e+001, 3.65682e+001,-3.53881e+000,-1.28459e+000, 1.79904e+000, 3.85440e+000,-5.55750e+000
0,13,727474.92,4335879.05,0,0,1,330.50,85472782.000,234432.7820,0.4,3.56680e+002,-1.06199e+002,1.43215e+002,-2.07430e+002,-1.94829e+002,4.00411e+002,-3.40305e+002,2.13619e+003,4.61634e+002,7.55058e+003, 2.07303e+000, 1.14181e-001, 2.41245e+001, 3.98410e+001, 4.57543e+001, 3.56420e+001,-3.53071e+000,-1.41916e+000, 1.93386e+000, 3.38028e+000,-4.56726e+000
0,14,727474.90,4335879.12,0,0,1,330.46,85472882.100,234432.8821,0.9,2.92824e+002,-1.29845e+002,1.67989e+002,-2.46683e+002,-2.34671e+002,3.94869e+002,-3.21848e+002,2.16896e+003,3.37488e+002,7.51441e+003, 1.67094e+000, 1.22037e-001, 2.37725e+001, 4.04703e+001, 4.52273e+001, 3.55623e+001,-2.89953e+000,-1.66445e+000, 2.32979e+000, 3.19665e+000,-3.34105e+000
0,15,727474.88,4335879.19,0,0,1,330.42,85472982.100,234432.9821,0.4,2.68912e+002,-6.21275e+001,1.48993e+002,-2.90294e+002,-2.86998e+002,4.18555e+002,-3.61909e+002,2.11723e+003,2.87440e+002,7.48581e+003, 1.95828e+000, 1.20985e-001, 2.52283e+001, 3.94319e+001, 4.49103e+001, 3.56765e+001,-2.66307e+000,-1.47637e+000, 2.85002e+000, 3.59526e+000,-2.84629e+000
0,16,727474.83,4335879.27,0,0,1,330.41,85473082.000,234433.0820,0.1,1.93060e+002,-2.14780e+001,8.47738e+001,-2.33301e+002,-3.22767e+002,4.05823e+002,-4.02832e+002,2.07871e+003,3.31839e+002,7.42037e+003, 6.51932e-001, 6.77861e-002, 2.44287e+001, 3.86618e+001, 4.45681e+001, 3.50205e+001,-1.91262e+000,-8.40292e-001, 3.20579e+000, 4.00261e+000,-3.28522e+000
0,17,727474.77,4335879.37,0,0,1,330.41,85473182.100,234433.1821,0.4,2.48714e+002,-5.14803e+001,4.06154e+001,-1.57189e+002,-3.07700e+002,4.63603e+002,-3.98068e+002,2.03448e+003,4.74924e+002,7.45208e+003, 1.84978e+000, 5.78119e-002, 2.80172e+001, 3.78011e+001, 4.50938e+001, 3.62449e+001,-2.46329e+000,-4.02674e-001, 3.05592e+000, 3.95518e+000,-4.69844e+000
