Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 0,   3,   727475.15,  4335878.53,   0,0,1,  330.78, 85471782.000,234431.7820,    0.4, 2.43909e+002,-2.16625e+001, 1.24006e+002,-2.68360e+001,-1.73822e+002, 3.74434e+002,-2.88581e+001, 2.10828e+003, 4.96929e+002, 7.51890e+003, 9.95312e+003
 0,   4,   727475.12,  4335878.53,   0,0,1,  330.79, 85471882.100,234431.8821,    0.4, 2.44872e+002,-4.20259e+001, 3.43186e+001,-6.79751e+001,-2.28602e+002, 3.83548e+002,-2.88128e+002, 2.15477e+003, 5.08855e+002, 7.46800e+003, 9.89632e+003
 0,   5,   727475.10,  4335878.53,   0,0,1,  330.81, 85471982.000,234431.9820,    0.4, 2.64819e+002,-8.97017e+001, 2.81064e+001,-9.98414e+001,-2.27184e+002, 4.08124e+002,-3.94614e+002, 2.21931e+003, 4.93454e+002, 7.42307e+003, 9.86097e+003
 0,   6,   727475.08,  4335878.59,   0,0,1,  330.78, 85472082.000,234432.0820,    0.5, 2.40208e+002,-8.75782e+001, 1.09472e+002,-1.67409e+002,-1.60352e+002, 4.15838e+002,-4.40712e+002, 2.15271e+003, 4.83189e+002, 7.48302e+003, 9.79658e+003
 0,   7,   727475.06,  4335878.65,   0,0,1,  330.74, 85472182.000,234432.1820,    0.4, 2.59608e+002,-5.36102e+001, 9.59241e+001,-2.24400e+002,-1.65834e+002, 4.30722e+002,-5.09577e+002, 2.10347e+003, 4.67598e+002, 7.50948e+003, 9.76566e+003
 0,   8,   727475.04,  4335878.72,   0,0,1,  330.70, 85472282.000,234432.2820,    0.2, 2.58170e+002,-8.65698e+001, 7.20139e+001,-1.91116e+002,-2.05713e+002, 4.50276e+002,-4.63398e+002, 2.23709e+003, 4.39259e+002, 7.45986e+003, 9.86954e+003
 0,   9,   727475.01,  4335878.79,   0,0,1,  330.66, 85472382.000,234432.3820,    0.4, 2.89175e+002,-9.60922e+001, 1.12828e+002,-1.85038e+002,-2.14419e+002, 4.19439e+002,-3.37845e+002, 2.27770e+003, 3.86545e+002, 7.44373e+003, 9.85974e+003
 0,  10,   727474.99,  4335878.85,   0,0,1,  330.62, 85472482.000,234432.4820,    0.4, 3.23685e+002,-6.86925e+000, 1.32225e+002,-1.10301e+002,-2.05053e+002, 4.49353e+002,-3.71648e+002, 2.05998e+003, 3.63494e+002, 7.46679e+003, 9.85895e+003
 0,  11,   727474.97,  4335878.92,   0,0,1,  330.58, 85472582.000,234432.5820,    0.9, 3.05076e+002,-1.38608e+001, 1.14801e+002,-1.49490e+002,-1.92061e+002, 4.82851e+002,-4.09504e+002, 2.02215e+003, 4.76966e+002, 7.49783e+003, 9.83948e+003
 0,  12,   727474.95,  4335878.99,   0,0,1,  330.54, 85472682.000,234432.6820,    0.4, 3.57500e+002,-9.38159e+001, 1.29626e+002,-2.19717e+002,-1.81259e+002, 4.47099e+002,-3.87945e+002, 2.09090e+003, 5.62001e+002, 7.57980e+003, 9.80428e+003
 0,  13,   727474.92,  4335879.05,   0,0,1,  330.50, 85472782.000,234432.7820,    0.4, 3.56680e+002,-1.06199e+002, 1.43215e+002,-2.07430e+002,-1.94829e+002, 4.00411e+002,-3.40305e+002, 2.13619e+003, 4.61634e+002, 7.55058e+003, 9.77355e+003
 0,  14,   727474.90,  4335879.12,   0,0,1,  330.46, 85472882.100,234432.8821,    0.9, 2.92824e+002,-1.29845e+002, 1.67989e+002,-2.46683e+002,-2.34671e+002, 3.94869e+002,-3.21848e+002, 2.16896e+003, 3.37488e+002, 7.51441e+003, 9.70171e+003
 0,  15,   727474.88,  4335879.19,   0,0,1,  330.42, 85472982.100,234432.9821,    0.4, 2.68912e+002,-6.21275e+001, 1.48993e+002,-2.90294e+002,-2.86998e+002, 4.18555e+002,-3.61909e+002, 2.11723e+003, 2.87440e+002, 7.48581e+003, 9.66917e+003
 0,  16,   727474.83,  4335879.27,   0,0,1,  330.41, 85473082.000,234433.0820,    0.1, 1.93060e+002,-2.14780e+001, 8.47738e+001,-2.33301e+002,-3.22767e+002, 4.05823e+002,-4.02832e+002, 2.07871e+003, 3.31839e+002, 7.42037e+003, 9.65013e+003
 0,  17,   727474.77,  4335879.37,   0,0,1,  330.41, 85473182.100,234433.1821,    0.4, 2.48714e+002,-5.14803e+001, 4.06154e+001,-1.57189e+002,-3.07700e+002, 4.63603e+002,-3.98068e+002, 2.03448e+003, 4.74924e+002, 7.45208e+003, 9.74150e+003
 0,  18,   727474.71,  4335879.46,   0,0,1,  330.41, 85473282.100,234433.2821,    0.5, 3.04904e+002, 1.86641e+001, 6.92546e+001,-7.47694e+001,-2.86611e+002, 4.62043e+002,-4.42427e+002, 2.01552e+003, 4.86376e+002, 7.44402e+003, 9.86548e+003
 0,  19,   727474.65,  4335879.55,   0,0,1,  330.40, 85473382.000,234433.3820,    1.1, 2.62613e+002,-1.87210e+001, 9.52684e+001,-5.22481e+000,-2.89451e+002, 3.93229e+002,-4.66545e+002, 2.08275e+003, 4.70550e+002, 7.49556e+003, 9.94759e+003
 0,  20,   727474.59,  4335879.64,   0,0,1,  330.40, 85473482.100,234433.4821,    2.9, 2.68101e+002,-1.64424e+002, 1.63847e+002, 5.85561e+000,-2.42452e+002, 3.91995e+002,-3.24730e+002, 2.17924e+003, 5.24576e+002, 7.59977e+003, 1.00124e+004
 0,  21,   727474.53,  4335879.73,   0,0,1,  330.40, 85473582.100,234433.5821,    4.5, 2.62450e+002,-9.88378e+001, 1.63119e+002,-7.79119e+001,-1.35180e+002, 4.18007e+002,-1.84522e+002, 2.21351e+003, 6.34694e+002, 7.60370e+003, 1.00585e+004
 0,  22,   727474.47,  4335879.83,   0,0,1,  330.40, 85473682.100,234433.6821,    1.4, 2.98517e+002,-2.66710e+001, 1.49163e+002,-1.45675e+002,-8.73715e+001, 4.47347e+002,-2.70918e+002, 2.19793e+003, 7.15096e+002, 7.54130e+003, 1.00142e+004
 0,  23,   727474.41,  4335879.92,   0,0,1,  330.39, 85473782.000,234433.7820,    0.6, 3.53795e+002,-4.38833e+001, 1.54274e+002,-7.83375e+001,-1.55704e+002, 4.53948e+002,-3.48957e+002, 2.17034e+003, 6.03993e+002, 7.61662e+003, 1.01187e+004
 0,  24,   727474.35,  4335880.01,   0,0,1,  330.39, 85473882.100,234433.8821,    0.8, 3.10156e+002, 9.58205e+001, 1.17075e+002,-1.04562e+002,-1.61265e+002, 4.21941e+002,-3.71910e+002, 2.18427e+003, 4.02258e+002, 7.61770e+003, 1.02152e+004
 0,  25,   727474.29,  4335880.10,   0,0,1,  330.39, 85473982.100,234433.9821,    0.6, 2.61057e+002, 7.95490e+001, 9.77679e+001,-1.45528e+002,-1.28351e+002, 3.82094e+002,-3.46201e+002, 2.15301e+003, 4.09005e+002, 7.60692e+003, 1.00760e+004
 0,  26,   727474.22,  4335880.22,   0,0,1,  330.40, 85474082.100,234434.0821,    1.9, 2.18494e+002,-1.19266e+002, 6.17454e+001,-1.36708e+002,-1.69663e+002, 4.41876e+002,-3.26567e+002, 2.10834e+003, 6.24064e+002, 7.66562e+003, 9.95986e+003
 0,  27,   727474.14,  4335880.35,   0,0,1,  330.41, 85474182.100,234434.1821,    2.8, 3.26464e+002,-3.06358e+002, 1.28319e+002,-7.09598e+001,-1.95038e+002, 5.14906e+002,-3.13649e+002, 2.17717e+003, 6.36763e+002, 7.82879e+003, 1.01435e+004
 0,  28,   727474.07,  4335880.47,   0,0,1,  330.42, 85474282.100,234434.2821,    1.9, 3.91601e+002,-3.25339e+002, 1.90456e+002,-4.37185e+001,-1.54017e+002, 4.75375e+002,-2.92724e+002, 2.27651e+003, 5.91923e+002, 7.91596e+003, 1.02988e+004
 0,  29,   727473.99,  4335880.60,   0,0,1,  330.43, 85474382.100,234434.3821,    1.1, 1.78419e+002,-1.07677e+002, 1.25552e+002,-4.56847e+001,-1.21493e+002, 4.60949e+002,-2.76933e+002, 2.34197e+003, 6.14297e+002, 7.95660e+003, 1.06062e+004
 0,  30,   727473.91,  4335880.72,   0,0,1,  330.44, 85474482.100,234434.4821,    1.3, 2.14559e+002, 2.66105e+001, 1.05126e+002,-7.05872e+001,-1.40754e+002, 4.84127e+002,-2.75791e+002, 2.33300e+003, 6.16396e+002, 7.95453e+003, 1.07277e+004
 0,  31,   727473.83,  4335880.85,   0,0,1,  330.45, 85474582.100,234434.5821,    1.0, 3.22548e+002, 8.64951e+001, 2.05273e+002,-5.26153e+001,-1.71648e+002, 4.84305e+002,-2.38329e+002, 2.32956e+003, 7.03083e+002, 7.85125e+003, 1.06990e+004
 0,  32,   727473.76,  4335880.97,   0,0,1,  330.47, 85474682.100,234434.6821,    2.2, 3.23358e+002, 1.20554e+002, 2.03375e+002,-1.50573e+001,-1.33751e+002, 4.92960e+002,-1.10603e+002, 2.28626e+003, 8.13143e+002, 7.87112e+003, 1.07558e+004
 0,  33,   727473.68,  4335881.10,   0,0,1,  330.48, 85474782.100,234434.7821,    8.5, 2.45141e+002,-1.03667e+001, 1.52197e+002,-4.93559e+001,-2.77815e+001, 4.97981e+002,-8.62161e+000, 2.26805e+003, 8.62981e+002, 7.97822e+003, 1.06845e+004
 0,  34,   727473.60,  4335881.22,   0,0,1,  330.49, 85474882.100,234434.8821,   15.0, 4.81900e+001,-1.95923e+001, 8.55681e+001,-8.62913e+001, 3.97421e+001, 4.99335e+002, 5.43627e+001, 2.34313e+003, 9.09415e+002, 8.03599e+003, 1.07726e+004
 0,  35,   727473.52,  4335881.34,   0,0,1,  330.50, 85474982.100,234434.9821,    4.7, 9.29076e+001, 6.33777e+001, 9.00981e+001,-5.46153e+001, 5.66093e+001, 4.97929e+002, 6.95836e+001, 2.38220e+003, 9.22158e+002, 8.07257e+003, 1.09615e+004
 0,  36,   727473.57,  4335881.50,   0,0,1,  330.27, 85475082.100,234435.0821,    1.0, 1.43206e+002, 1.99719e+002, 5.49605e+001, 3.44771e+000, 3.56912e+001, 5.71324e+002, 5.80331e+001, 2.42872e+003, 9.44512e+002, 8.07350e+003, 1.12767e+004
 0,  37,   727473.64,  4335881.66,   0,0,1,  329.99, 85475182.100,234435.1821,    1.0, 1.19331e+002, 2.60066e+002, 9.64034e+001, 6.90436e+001, 9.93452e+001, 6.33632e+002, 6.43134e+001, 2.42614e+003, 1.01631e+003, 7.99143e+003, 1.13803e+004
 0,  38,   727473.71,  4335881.81,   0,0,1,  329.71, 85475282.100,234435.2821,    1.8, 2.12098e+002, 1.37538e+002, 2.15936e+002, 1.47685e+002, 1.46803e+002, 6.40121e+002, 1.18915e+002, 2.39413e+003, 1.02862e+003, 7.95328e+003, 1.12728e+004
 0,  39,   727473.78,  4335881.97,   0,0,1,  329.43, 85475382.100,234435.3821,    1.0, 3.66410e+002,-8.18690e+000, 2.71114e+002, 1.30411e+002, 1.04243e+002, 6.31631e+002, 1.69318e+002, 2.40336e+003, 1.02860e+003, 8.05411e+003, 1.12113e+004
 0,  40,   727473.85,  4335882.13,   0,0,1,  329.15, 85475482.100,234435.4821,    3.9, 3.39328e+002,-6.75267e+001, 2.85251e+002, 6.21167e+001, 7.73599e+001, 5.91752e+002, 1.73607e+002, 2.45092e+003, 1.14232e+003, 8.18300e+003, 1.12203e+004
