Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,8,727438.04,4335897.08,0,0,1,333.21,233728.300,000353.7283,0.4,4.84491e+002,2.68277e+002,5.17004e+002,3.30327e+002,4.67068e+002,9.63326e+002,5.68023e+002,3.36912e+003,2.52075e+003,1.12659e+004, 2.14369e+002, 7.75317e+001, 6.36947e+001, 6.74146e+001, 7.66939e+001, 6.87287e+001,-4.79286e+000,-5.11367e+000,-4.62090e+000,-5.61688e+000,-2.46880e+001
0,9,727438.04,4335897.08,0,0,1,333.21,233828.300,000353.8283,0.5,4.20510e+002,2.49750e+002,4.89744e+002,3.18349e+002,4.78722e+002,9.77553e+002,5.31241e+002,3.39009e+003,2.51460e+003,1.12711e+004, 1.96781e+002, 7.43503e+001, 6.47413e+001, 6.76757e+001, 7.67118e+001, 6.92149e+001,-4.16124e+000,-4.84470e+000,-4.73592e+000,-5.25412e+000,-2.46285e+001
0,10,727438.04,4335897.08,0,0,1,333.22,233928.300,000353.9283,0.6,3.33563e+002,2.41795e+002,4.18036e+002,2.87352e+002,4.95559e+002,1.04715e+003,5.46209e+002,3.42779e+003,2.50732e+003,1.12567e+004, 1.86421e+002, 6.62408e+001, 6.95403e+001, 6.85364e+001, 7.65871e+001, 7.12732e+001,-3.30226e+000,-4.13681e+000,-4.90208e+000,-5.40176e+000,-2.45581e+001
0,11,727438.04,4335897.08,0,0,1,333.23,234028.300,000354.0283,0.4,3.55411e+002,2.57761e+002,3.76520e+002,3.15312e+002,4.93631e+002,1.08552e+003,4.48131e+002,3.53606e+003,2.58220e+003,1.11603e+004, 1.99480e+002, 7.17729e+001, 7.20957e+001, 7.03198e+001, 7.61338e+001, 7.26928e+001,-3.51817e+000,-3.72674e+000,-4.88306e+000,-4.43396e+000,-2.52823e+001
0,12,727438.04,4335897.08,0,0,1,333.23,234128.300,000354.1283,1.0,4.47053e+002,2.25379e+002,3.82951e+002,3.40054e+002,5.44369e+002,1.02924e+003,3.88937e+002,3.52571e+003,2.61576e+003,1.11577e+004, 1.79578e+002, 7.73984e+001, 6.87803e+001, 6.98130e+001, 7.62185e+001, 7.12994e+001,-4.42332e+000,-3.79027e+000,-5.38361e+000,-3.84940e+000,-2.56066e+001
0,13,727438.05,4335897.08,0,0,1,333.24,234228.300,000354.2283,0.4,4.39762e+002,1.49424e+002,3.83932e+002,3.43313e+002,5.04328e+002,9.88454e+002,5.78507e+002,3.45016e+003,2.54257e+003,1.12140e+004, 1.21312e+002, 7.81430e+001, 6.56895e+001, 6.91620e+001, 7.63929e+001, 6.99694e+001,-4.35134e+000,-3.79996e+000,-4.98861e+000,-5.72026e+000,-2.48991e+001
0,14,727438.05,4335897.09,0,0,1,333.25,234328.300,000354.3283,0.6,4.19075e+002,1.43205e+002,3.75856e+002,3.28092e+002,4.75040e+002,1.00394e+003,6.84718e+002,3.47528e+003,2.51840e+003,1.12639e+004, 1.15775e+002, 7.46071e+001, 6.64709e+001, 7.02102e+001, 7.66725e+001, 7.06918e+001,-4.14707e+000,-3.72018e+000,-4.69958e+000,-6.76691e+000,-2.46653e+001
0,15,727438.05,4335897.09,0,0,1,333.25,234428.300,000354.4283,0.8,4.12552e+002,1.78185e+002,3.70391e+002,3.12014e+002,5.18598e+002,9.78148e+002,6.24373e+002,3.54787e+003,2.55294e+003,1.13114e+004, 1.42056e+002, 7.09348e+001, 6.51251e+001, 7.14386e+001, 7.71171e+001, 7.07193e+001,-4.08265e+000,-3.66619e+000,-5.12940e+000,-6.17238e+000,-2.49993e+001
0,16,727438.05,4335897.09,0,0,1,333.26,234528.300,000354.5283,0.6,4.10214e+002,2.03117e+002,4.01964e+002,3.29370e+002,5.49356e+002,9.28494e+002,5.73503e+002,3.49467e+003,2.56787e+003,1.13093e+004, 1.60872e+002, 7.53463e+001, 6.20731e+001, 7.00707e+001, 7.71486e+001, 6.91257e+001,-4.05956e+000,-3.97808e+000,-5.43280e+000,-5.67092e+000,-2.51437e+001
0,17,727438.05,4335897.09,0,0,1,333.26,234628.300,000354.6283,0.8,4.03126e+002,2.13975e+002,4.52642e+002,3.04657e+002,5.34887e+002,9.75323e+002,5.79696e+002,3.45128e+003,2.52928e+003,1.13256e+004, 1.68764e+002, 7.06490e+001, 6.50796e+001, 6.91913e+001, 7.71445e+001, 6.99691e+001,-3.98955e+000,-4.47850e+000,-5.29008e+000,-5.73198e+000,-2.47705e+001
