Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 0,   8,   727438.04,  4335897.08,   0,0,1,  333.21,  233728.300,000353.7283,    0.4, 4.84491e+002, 2.68277e+002, 5.17004e+002, 3.30327e+002, 4.67068e+002, 9.63326e+002, 5.68023e+002, 3.36912e+003, 2.52075e+003, 1.12659e+004, 1.61969e+004
 0,   9,   727438.04,  4335897.08,   0,0,1,  333.21,  233828.300,000353.8283,    0.5, 4.20510e+002, 2.49750e+002, 4.89744e+002, 3.18349e+002, 4.78722e+002, 9.77553e+002, 5.31241e+002, 3.39009e+003, 2.51460e+003, 1.12711e+004, 1.62069e+004
 0,  10,   727438.04,  4335897.08,   0,0,1,  333.22,  233928.300,000353.9283,    0.6, 3.33563e+002, 2.41795e+002, 4.18036e+002, 2.87352e+002, 4.95559e+002, 1.04715e+003, 5.46209e+002, 3.42779e+003, 2.50732e+003, 1.12567e+004, 1.62608e+004
 0,  11,   727438.04,  4335897.08,   0,0,1,  333.23,  234028.300,000354.0283,    0.4, 3.55411e+002, 2.57761e+002, 3.76520e+002, 3.15312e+002, 4.93631e+002, 1.08552e+003, 4.48131e+002, 3.53606e+003, 2.58220e+003, 1.11603e+004, 1.63549e+004
 0,  12,   727438.04,  4335897.08,   0,0,1,  333.23,  234128.300,000354.1283,    1.0, 4.47053e+002, 2.25379e+002, 3.82951e+002, 3.40054e+002, 5.44369e+002, 1.02924e+003, 3.88937e+002, 3.52571e+003, 2.61576e+003, 1.11577e+004, 1.62781e+004
 0,  13,   727438.05,  4335897.08,   0,0,1,  333.24,  234228.300,000354.2283,    0.4, 4.39762e+002, 1.49424e+002, 3.83932e+002, 3.43313e+002, 5.04328e+002, 9.88454e+002, 5.78507e+002, 3.45016e+003, 2.54257e+003, 1.12140e+004, 1.61453e+004
 0,  14,   727438.05,  4335897.09,   0,0,1,  333.25,  234328.300,000354.3283,    0.6, 4.19075e+002, 1.43205e+002, 3.75856e+002, 3.28092e+002, 4.75040e+002, 1.00394e+003, 6.84718e+002, 3.47528e+003, 2.51840e+003, 1.12639e+004, 1.62144e+004
 0,  15,   727438.05,  4335897.09,   0,0,1,  333.25,  234428.300,000354.4283,    0.8, 4.12552e+002, 1.78185e+002, 3.70391e+002, 3.12014e+002, 5.18598e+002, 9.78148e+002, 6.24373e+002, 3.54787e+003, 2.55294e+003, 1.13114e+004, 1.63276e+004
 0,  16,   727438.05,  4335897.09,   0,0,1,  333.26,  234528.300,000354.5283,    0.6, 4.10214e+002, 2.03117e+002, 4.01964e+002, 3.29370e+002, 5.49356e+002, 9.28494e+002, 5.73503e+002, 3.49467e+003, 2.56787e+003, 1.13093e+004, 1.62649e+004
 0,  17,   727438.05,  4335897.09,   0,0,1,  333.26,  234628.300,000354.6283,    0.8, 4.03126e+002, 2.13975e+002, 4.52642e+002, 3.04657e+002, 5.34887e+002, 9.75323e+002, 5.79696e+002, 3.45128e+003, 2.52928e+003, 1.13256e+004, 1.62709e+004
 0,  18,   727438.05,  4335897.09,   0,0,1,  333.27,  234728.300,000354.7283,    0.6, 3.78493e+002, 2.10924e+002, 5.20533e+002, 2.85780e+002, 4.78885e+002, 1.05128e+003, 5.93923e+002, 3.48062e+003, 2.51774e+003, 1.13889e+004, 1.64175e+004
 0,  19,   727438.05,  4335897.09,   0,0,1,  333.28,  234828.300,000354.8283,    0.6, 3.93684e+002, 1.56442e+002, 5.19768e+002, 3.04977e+002, 4.08579e+002, 1.00094e+003, 5.98894e+002, 3.52703e+003, 2.57782e+003, 1.13893e+004, 1.63787e+004
 0,  20,   727438.05,  4335897.09,   0,0,1,  333.28,  234928.300,000354.9283,    0.8, 4.02131e+002, 1.04243e+002, 4.86209e+002, 2.43626e+002, 3.73416e+002, 9.78502e+002, 5.96793e+002, 3.55250e+003, 2.56111e+003, 1.13259e+004, 1.62048e+004
 0,  21,   727438.05,  4335897.09,   0,0,1,  333.29,  235028.300,000355.0283,    0.6, 3.79184e+002, 9.15667e+001, 4.54343e+002, 1.83200e+002, 3.58311e+002, 9.98772e+002, 6.02759e+002, 3.55678e+003, 2.45812e+003, 1.12079e+004, 1.60383e+004
 0,  22,   727438.05,  4335897.09,   0,0,1,  333.29,  235128.300,000355.1283,    0.6, 4.44333e+002, 1.70272e+002, 4.91640e+002, 1.86909e+002, 3.84016e+002, 9.79425e+002, 6.21384e+002, 3.50104e+003, 2.47362e+003, 1.11544e+004, 1.59921e+004
 0,  23,   727438.05,  4335897.09,   0,0,1,  333.29,  235228.300,000355.2283,    0.5, 4.90769e+002, 1.50220e+002, 5.66803e+002, 1.84775e+002, 5.04039e+002, 1.03601e+003, 5.85928e+002, 3.49071e+003, 2.48838e+003, 1.11520e+004, 1.60137e+004
 0,  24,   727438.05,  4335897.10,   0,0,1,  333.29,  235328.300,000355.3283,    0.5, 4.86465e+002, 8.28054e+001, 5.48114e+002, 2.25404e+002, 5.35043e+002, 1.07685e+003, 5.09271e+002, 3.47320e+003, 2.51143e+003, 1.12174e+004, 1.60757e+004
 0,  25,   727438.04,  4335897.10,   0,0,1,  333.30,  235428.300,000355.4283,    0.5, 4.29521e+002, 1.14909e+002, 4.81492e+002, 2.89334e+002, 4.48542e+002, 1.04471e+003, 4.88272e+002, 3.44873e+003, 2.51047e+003, 1.12866e+004, 1.61843e+004
 0,  26,   727438.04,  4335897.10,   0,0,1,  333.30,  235528.300,000355.5283,    0.5, 3.76011e+002, 8.05737e+001, 4.26225e+002, 3.32972e+002, 4.59259e+002, 9.93263e+002, 4.96304e+002, 3.43685e+003, 2.47121e+003, 1.12985e+004, 1.61422e+004
 0,  27,   727438.04,  4335897.10,   0,0,1,  333.30,  235628.300,000355.6283,    0.7, 4.34820e+002, 8.22313e+001, 4.20457e+002, 3.16534e+002, 4.89397e+002, 9.93070e+002, 5.47603e+002, 3.47456e+003, 2.47890e+003, 1.12879e+004, 1.61543e+004
 0,  28,   727438.04,  4335897.10,   0,0,1,  333.30,  235728.300,000355.7283,    0.6, 4.53529e+002, 1.04326e+002, 4.43209e+002, 3.01390e+002, 4.91886e+002, 9.79589e+002, 6.11100e+002, 3.52171e+003, 2.52589e+003, 1.12553e+004, 1.61623e+004
 0,  29,   727438.04,  4335897.10,   0,0,1,  333.31,  235828.300,000355.8283,    1.0, 3.89197e+002, 3.34434e+001, 4.61978e+002, 2.96333e+002, 4.67317e+002, 9.83110e+002, 6.08402e+002, 3.46845e+003, 2.57938e+003, 1.11662e+004, 1.59476e+004
 0,  30,   727438.04,  4335897.10,   0,0,1,  333.31,  235928.300,000355.9283,    1.6, 4.02212e+002, 8.71470e+001, 4.38942e+002, 2.90361e+002, 4.40461e+002, 1.00754e+003, 5.49193e+002, 3.42229e+003, 2.58589e+003, 1.12490e+004, 1.60564e+004
 0,  31,   727438.04,  4335897.10,   0,0,1,  333.31,  236028.300,000356.0283,    0.9, 4.22572e+002, 1.77077e+002, 4.19766e+002, 2.56049e+002, 4.47748e+002, 9.63785e+002, 5.14168e+002, 3.48152e+003, 2.50341e+003, 1.13586e+004, 1.62370e+004
 0,  32,   727438.04,  4335897.10,   0,0,1,  333.31,  236128.300,000356.1283,    0.8, 4.10552e+002, 8.58029e+001, 4.96206e+002, 2.76641e+002, 4.30732e+002, 8.65157e+002, 5.69778e+002, 3.48456e+003, 2.42865e+003, 1.13152e+004, 1.60274e+004
 0,  33,   727438.04,  4335897.10,   0,0,1,  333.32,  236228.300,000356.2283,    0.9, 4.40747e+002, 4.16974e+001, 5.34390e+002, 3.25723e+002, 4.00025e+002, 8.66102e+002, 5.56380e+002, 3.43730e+003, 2.35376e+003, 1.12504e+004, 1.59212e+004
 0,  34,   727438.04,  4335897.10,   0,0,1,  333.32,  236328.300,000356.3283,    0.5, 4.74329e+002, 8.46723e+001, 5.17774e+002, 2.81948e+002, 4.39263e+002, 9.72118e+002, 4.54292e+002, 3.39368e+003, 2.36496e+003, 1.11947e+004, 1.59271e+004
 0,  35,   727438.04,  4335897.10,   0,0,1,  333.32,  236428.300,000356.4283,    0.6, 5.16111e+002, 7.54284e+001, 5.24771e+002, 2.44690e+002, 4.90354e+002, 9.62041e+002, 4.70169e+002, 3.50915e+003, 2.42993e+003, 1.12095e+004, 1.60008e+004
