Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_210Hz,Q_210Hz,I_270Hz,Q_270Hz,I_330Hz,Q_330Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC210Hz[mS/m],EC270Hz[mS/m],EC330Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc210Hz[1/1000],MSusc270Hz[1/1000],MSusc330Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,7,727476.53,4335879.96,0,0,1,331.81,1533732.400,002533.7324,0.6,-7.12732e+001,-3.28186e+002,1.18174e+002,-2.03675e+002,3.25947e+002,2.04060e+002,8.74431e+002,3.16077e+003,6.70390e+003,1.04101e+004, 3.40563e-001, 3.88920e-001, 1.73318e+002, 5.19666e+001, 6.77517e+001, 5.93920e+001,-1.87314e-001, 3.10652e-001, 8.57072e-001, 2.30096e+000, 1.77769e+001
0,8,727476.55,4335879.95,0,0,1,331.81,1533832.400,002533.8324,0.7,-2.10748e+002,-2.99413e+002,-1.10318e+002,1.09795e+002,2.46246e+002,2.91348e+002,9.85006e+002,3.06631e+003,6.75583e+003,1.03044e+004, 3.40982e-001, 1.02301e+002, 2.40264e+002, 5.07549e+001, 6.72162e+001, 5.84984e+001,-5.53767e-001,-2.89913e-001, 6.47432e-001, 2.59230e+000, 1.79158e+001
0,9,727476.57,4335879.94,0,0,1,331.82,1533932.500,002533.9325,0.7,-3.65033e+002,1.50288e+002,-1.43717e+002,2.89146e+002,2.97726e+002,2.10793e+002,9.61151e+002,3.14356e+003,6.69068e+003,1.00352e+004, 1.80956e+002, 2.74269e+002, 1.77331e+002, 5.19817e+001, 6.53550e+001, 5.82726e+001,-9.58977e-001,-3.77668e-001, 7.82836e-001, 2.52944e+000, 1.77415e+001
0,10,727476.57,4335879.95,0,0,1,331.81,1534032.400,002534.0324,0.6,-2.55976e+002,6.63431e+002,-1.46852e+002,4.40166e+002,1.83237e+002,2.62408e+002,7.66903e+002,3.13533e+003,6.60903e+003,9.97295e+003, 8.28544e+002, 4.22237e+002, 2.13188e+002, 5.11327e+001, 6.47747e+001, 5.75500e+001,-6.72570e-001,-3.85905e-001, 4.81728e-001, 2.01773e+000, 1.75231e+001
0,11,727476.52,4335879.99,0,0,1,331.80,1534132.400,002534.1324,0.7,-1.49733e+002,3.31489e+002,-1.11818e+002,3.72446e+002,-1.76488e+001,4.65280e+002,6.52158e+002,3.03359e+003,6.55531e+003,9.87987e+003, 4.05921e+002, 3.55750e+002, 3.65907e+002, 4.90081e+001, 6.40670e+001, 5.60919e+001,-3.93474e-001,-2.93854e-001,-4.63863e-002, 1.71557e+000, 1.73794e+001
0,12,727476.48,4335880.03,0,0,1,331.79,1534232.400,002534.2324,0.5,-2.23287e+002,5.85338e+001,-3.26127e+001,3.00648e+002,-2.65020e+002,1.78345e+002,5.12458e+002,3.03512e+003,6.55625e+003,9.72241e+003, 6.96762e+001, 2.85494e+002, 1.37221e+002, 4.85384e+001, 6.31121e+001, 5.53940e+001,-5.86706e-001,-8.57141e-002,-6.96324e-001, 1.34783e+000, 1.73819e+001
0,13,727476.43,4335880.08,0,0,1,331.79,1534332.400,002534.3324,1.0,-5.26096e+002,2.30194e+002,-1.11864e+002,3.25640e+002,-7.19480e+001,1.14761e+002,4.99480e+002,3.14290e+003,6.74498e+003,9.68128e+003, 2.79666e+002, 3.10140e+002, 8.71566e+001, 5.02935e+001, 6.33697e+001, 5.64446e+001,-1.38181e+000,-2.93975e-001,-1.89087e-001, 1.31367e+000, 1.78868e+001
0,14,727476.38,4335880.12,0,0,1,331.78,1534432.400,002534.4324,1.1,-6.80276e+002,6.55232e+002,-3.23707e+002,3.20999e+002,-2.02377e+001,4.49313e+002,8.09426e+002,3.26266e+003,6.83569e+003,9.79046e+003, 8.17810e+002, 3.05357e+002, 3.52788e+002, 5.34554e+001, 6.42490e+001, 5.85328e+001,-1.78641e+000,-8.50455e-001,-5.31905e-002, 2.12973e+000, 1.81295e+001
0,15,727476.33,4335880.16,0,0,1,331.77,1534532.400,002534.5324,0.8,-5.56490e+002,7.90851e+002,-3.14958e+002,2.52376e+002,-2.36563e+002,6.41887e+002,9.47846e+002,3.17584e+003,6.78852e+003,9.95560e+003, 9.93160e+002, 2.38667e+002, 5.09341e+002, 5.24940e+001, 6.51297e+001, 5.84379e+001,-1.46159e+000,-8.27479e-001,-6.21579e-001, 2.49438e+000, 1.80033e+001
0,16,727476.28,4335880.20,0,0,1,331.76,1534632.400,002534.6324,3.1,-2.16973e+002,4.27074e+002,8.36650e+001,-6.20188e-001,-1.75523e+002,3.14500e+002,7.75566e+002,3.00208e+003,6.94683e+003,9.88402e+003, 5.26289e+002, 3.08421e-001, 2.44688e+002, 4.89152e+001, 6.51483e+001, 5.65514e+001,-5.70120e-001, 2.19926e-001,-4.61231e-001, 2.04054e+000, 1.84270e+001
