Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,8,727422.15,4335847.66,0,0,1,330.61,2327767.000,003847.7670,3.2,5.17367e+002,-6.20202e+001,-8.26622e+001,2.29479e+002,3.08710e+002,5.08493e+002,-2.20821e+002,1.84426e+003,1.49600e+003,6.86244e+003, 4.78459e+000, 4.72597e+001, 3.27245e+001, 3.41966e+001, 4.36156e+001, 3.63998e+001,-5.11725e+000, 8.20042e-001,-3.05659e+000, 2.19213e+000,-1.47256e+001
0,9,727422.15,4335847.66,0,0,1,330.59,2327867.100,003847.8671,1.3,7.63933e+002,-2.70733e+002,-8.44708e+001,1.65462e+002,3.05951e+002,5.02514e+002,-1.93587e+002,1.81668e+003,1.44412e+003,6.87918e+003, 8.07378e+000, 3.38289e+001, 3.23226e+001, 3.36594e+001, 4.36120e+001, 3.60699e+001,-7.54682e+000, 8.37991e-001,-3.02931e+000, 1.92152e+000,-1.42186e+001
0,10,727422.16,4335847.65,0,0,1,330.57,2327967.000,003847.9670,2.3,7.45649e+002,-2.21677e+002,-9.20252e+001,1.48468e+002,3.15284e+002,4.76629e+002,-1.67364e+002,1.62297e+003,1.41786e+003,6.98268e+003, 7.78247e+000, 3.02757e+001, 3.07134e+001, 2.99014e+001, 4.42408e+001, 3.44077e+001,-7.36686e+000, 9.12969e-001,-3.12158e+000, 1.66101e+000,-1.39618e+001
0,11,727422.16,4335847.65,0,0,1,330.56,2328067.000,003848.0670,1.6,5.66561e+002,-1.05978e+001,-1.20198e+002,1.29441e+002,3.24705e+002,5.00581e+002,-2.34599e+002,1.52777e+003,1.49552e+003,7.07503e+003, 5.49926e+000, 2.64897e+001, 3.23131e+001, 2.80589e+001, 4.50290e+001, 3.46347e+001,-5.60247e+000, 1.19263e+000,-3.21471e+000, 2.32907e+000,-1.47209e+001
0,12,727422.16,4335847.65,0,0,1,330.56,2328167.000,003848.1670,0.6,5.42061e+002,5.28215e+001,-1.07278e+002,1.13552e+002,3.31057e+002,4.39657e+002,-1.74020e+002,1.67685e+003,1.47726e+003,7.04385e+003, 5.00770e+001, 2.31934e+001, 2.84266e+001, 3.09439e+001, 4.47803e+001, 3.40465e+001,-5.36085e+000, 1.06437e+000,-3.27749e+000, 1.72713e+000,-1.45425e+001
0,13,727422.15,4335847.64,0,0,1,330.56,2328267.000,003848.2670,1.1,6.72172e+002,-3.33291e+001,-8.25951e+001,1.16345e+002,3.10132e+002,4.77793e+002,-1.07599e+002,1.81482e+003,1.37968e+003,7.02988e+003, 6.75427e+000, 2.36251e+001, 3.07575e+001, 3.36238e+001, 4.44689e+001, 3.57186e+001,-6.64334e+000, 8.19376e-001,-3.07065e+000, 1.06756e+000,-1.35884e+001
0,14,727422.15,4335847.64,0,0,1,330.56,2328367.000,003848.3670,1.8,6.65255e+002,-1.05119e+002,-1.00056e+002,1.16492e+002,2.82822e+002,5.65094e+002,-1.60442e+002,1.81876e+003,1.41482e+003,7.06639e+003, 6.65563e+000, 2.36439e+001, 3.62052e+001, 3.37002e+001, 4.47900e+001, 3.78936e+001,-6.57520e+000, 9.92680e-001,-2.80063e+000, 1.59226e+000,-1.39321e+001
0,15,727422.15,4335847.64,0,0,1,330.55,2328467.000,003848.4670,2.2,6.59836e+002,-1.96127e+002,-7.94012e+001,1.45767e+002,3.19660e+002,5.15056e+002,-1.26305e+002,1.81002e+003,1.48766e+003,7.06431e+003, 6.57893e+000, 2.97266e+001, 3.32152e+001, 3.35302e+001, 4.49399e+001, 3.67531e+001,-6.52181e+000, 7.87678e-001,-3.16484e+000, 1.25327e+000,-1.46441e+001
0,16,727422.15,4335847.64,0,0,1,330.55,2328567.000,003848.5670,1.8,7.50967e+002,-2.85284e+002,-5.65067e+001,1.87506e+002,4.00363e+002,5.09971e+002,-1.06606e+002,1.84970e+003,1.51949e+003,7.07509e+003, 7.86603e+000, 3.84904e+001, 3.33824e+001, 3.42493e+001, 4.50834e+001, 3.70954e+001,-7.41921e+000, 5.60496e-001,-3.96227e+000, 1.05770e+000,-1.49551e+001
0,17,727422.15,4335847.63,0,0,1,330.55,2328667.000,003848.6670,2.6,8.05544e+002,-1.92792e+002,-7.26769e+001,1.44941e+002,4.70704e+002,5.59202e+002,-8.83922e+001,1.83020e+003,1.53335e+003,7.02717e+003, 8.77918e+000, 2.95647e+001, 3.70426e+001, 3.38722e+001, 4.47952e+001, 3.82678e+001,-7.95626e+000, 7.20948e-001,-4.65679e+000, 8.76910e-001,-1.50905e+001
