Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 0,   8,   727422.15,  4335847.66,   0,0,1,  330.61, 2327767.000,003847.7670,    3.2, 5.17367e+002,-6.20202e+001,-8.26622e+001, 2.29479e+002, 3.08710e+002, 5.08493e+002,-2.20821e+002, 1.84426e+003, 1.49600e+003, 6.86244e+003, 9.38265e+003
 0,   9,   727422.15,  4335847.66,   0,0,1,  330.59, 2327867.100,003847.8671,    1.3, 7.63933e+002,-2.70733e+002,-8.44708e+001, 1.65462e+002, 3.05951e+002, 5.02514e+002,-1.93587e+002, 1.81668e+003, 1.44412e+003, 6.87918e+003, 9.09310e+003
 0,  10,   727422.16,  4335847.65,   0,0,1,  330.57, 2327967.000,003847.9670,    2.3, 7.45649e+002,-2.21677e+002,-9.20252e+001, 1.48468e+002, 3.15284e+002, 4.76629e+002,-1.67364e+002, 1.62297e+003, 1.41786e+003, 6.98268e+003, 9.00907e+003
 0,  11,   727422.16,  4335847.65,   0,0,1,  330.56, 2328067.000,003848.0670,    1.6, 5.66561e+002,-1.05978e+001,-1.20198e+002, 1.29441e+002, 3.24705e+002, 5.00581e+002,-2.34599e+002, 1.52777e+003, 1.49552e+003, 7.07503e+003, 9.22222e+003
 0,  12,   727422.16,  4335847.65,   0,0,1,  330.56, 2328167.000,003848.1670,    0.6, 5.42061e+002, 5.28215e+001,-1.07278e+002, 1.13552e+002, 3.31057e+002, 4.39657e+002,-1.74020e+002, 1.67685e+003, 1.47726e+003, 7.04385e+003, 9.32674e+003
 0,  13,   727422.15,  4335847.64,   0,0,1,  330.56, 2328267.000,003848.2670,    1.1, 6.72172e+002,-3.33291e+001,-8.25951e+001, 1.16345e+002, 3.10132e+002, 4.77793e+002,-1.07599e+002, 1.81482e+003, 1.37968e+003, 7.02988e+003, 9.40550e+003
 0,  14,   727422.15,  4335847.64,   0,0,1,  330.56, 2328367.000,003848.3670,    1.8, 6.65255e+002,-1.05119e+002,-1.00056e+002, 1.16492e+002, 2.82822e+002, 5.65094e+002,-1.60442e+002, 1.81876e+003, 1.41482e+003, 7.06639e+003, 9.46162e+003
 0,  15,   727422.15,  4335847.64,   0,0,1,  330.55, 2328467.000,003848.4670,    2.2, 6.59836e+002,-1.96127e+002,-7.94012e+001, 1.45767e+002, 3.19660e+002, 5.15056e+002,-1.26305e+002, 1.81002e+003, 1.48766e+003, 7.06431e+003, 9.33903e+003
 0,  16,   727422.15,  4335847.64,   0,0,1,  330.55, 2328567.000,003848.5670,    1.8, 7.50967e+002,-2.85284e+002,-5.65067e+001, 1.87506e+002, 4.00363e+002, 5.09971e+002,-1.06606e+002, 1.84970e+003, 1.51949e+003, 7.07509e+003, 9.33698e+003
 0,  17,   727422.15,  4335847.63,   0,0,1,  330.55, 2328667.000,003848.6670,    2.6, 8.05544e+002,-1.92792e+002,-7.26769e+001, 1.44941e+002, 4.70704e+002, 5.59202e+002,-8.83922e+001, 1.83020e+003, 1.53335e+003, 7.02717e+003, 9.36872e+003
 0,  18,   727422.15,  4335847.63,   0,0,1,  330.55, 2328767.000,003848.7670,    2.0, 6.26374e+002,-7.14589e+000,-9.37346e+001, 7.02389e+001, 4.65908e+002, 5.64613e+002,-1.11330e+002, 1.77578e+003, 1.46187e+003, 7.09628e+003, 9.49977e+003
 0,  19,   727422.15,  4335847.63,   0,0,1,  330.54, 2328867.100,003848.8671,    1.7, 5.53324e+002, 2.99553e+001,-1.00999e+002, 9.70623e+001, 3.83061e+002, 5.01008e+002,-1.08554e+002, 1.76307e+003, 1.37986e+003, 7.16942e+003, 9.56051e+003
 0,  20,   727422.14,  4335847.62,   0,0,1,  330.54, 2328967.000,003848.9670,    1.3, 6.52545e+002,-4.45712e+001,-9.66407e+001, 1.82746e+002, 3.46297e+002, 5.10669e+002,-7.46646e+001, 1.87013e+003, 1.40058e+003, 7.08807e+003, 9.60704e+003
 0,  21,   727422.14,  4335847.62,   0,0,1,  330.56, 2329067.000,003849.0670,    1.7, 7.04724e+002,-6.54442e+001,-1.02860e+002, 1.74245e+002, 3.40534e+002, 5.92900e+002,-2.06147e+001, 1.92003e+003, 1.42735e+003, 7.08408e+003, 9.70581e+003
 0,  22,   727422.12,  4335847.61,   0,0,1,  330.58, 2329167.000,003849.1670,    1.5, 7.32816e+002,-6.57113e+001,-4.54452e+001, 1.78107e+002, 3.76130e+002, 5.90653e+002,-6.52214e-001, 1.85010e+003, 1.41951e+003, 7.15989e+003, 9.71304e+003
 0,  23,   727422.11,  4335847.61,   0,0,1,  330.60, 2329267.000,003849.2670,    2.5, 7.32933e+002,-1.75436e+002, 3.93554e+001, 2.19564e+002, 3.91939e+002, 5.07323e+002, 6.67747e-001, 1.74676e+003, 1.40148e+003, 7.21031e+003, 9.50852e+003
 0,  24,   727422.10,  4335847.60,   0,0,1,  330.62, 2329367.000,003849.3670,    4.1, 7.64629e+002,-1.43862e+002,-4.81953e+001, 2.24618e+002, 3.65599e+002, 4.98306e+002,-2.32460e+001, 1.71741e+003, 1.45649e+003, 7.27208e+003, 9.56856e+003
 0,  25,   727422.09,  4335847.60,   0,0,1,  330.64, 2329467.000,003849.4670,    0.9, 7.32634e+002, 5.85287e+001,-8.92550e+001, 1.60630e+002, 3.56204e+002, 5.64419e+002,-1.32623e+001, 1.74840e+003, 1.56264e+003, 7.29562e+003, 9.82760e+003
 0,  26,   727422.07,  4335847.59,   0,0,1,  330.66, 2329567.000,003849.5670,    3.2, 6.09990e+002,-1.15633e+002,-2.73732e+001, 1.54312e+002, 3.84796e+002, 5.54940e+002,-2.02662e+000, 1.82389e+003, 1.55866e+003, 7.24699e+003, 9.66450e+003
 0,  27,   727422.06,  4335847.59,   0,0,1,  330.68, 2329667.000,003849.6670,    3.6, 6.05689e+002,-1.59535e+002,-6.94248e+000, 2.15416e+002, 4.07201e+002, 5.02215e+002, 1.09944e+001, 1.81626e+003, 1.51988e+003, 7.20937e+003, 9.58372e+003
 0,  28,   727422.05,  4335847.58,   0,0,1,  330.70, 2329767.000,003849.7670,    4.6, 6.95858e+002,-1.16752e+002,-1.76922e+001, 2.05171e+002, 4.31759e+002, 4.95964e+002,-3.23850e+001, 1.76232e+003, 1.51899e+003, 7.20837e+003, 9.55507e+003
 0,  29,   727422.04,  4335847.58,   0,0,1,  330.72, 2329867.100,003849.8671,    3.0, 7.64428e+002,-1.68217e+002, 3.99837e+001, 1.83012e+002, 4.67793e+002, 5.05480e+002,-4.88518e+001, 1.75715e+003, 1.60463e+003, 7.21890e+003, 9.49632e+003
 0,  30,   727422.03,  4335847.57,   0,0,1,  330.74, 2329967.000,003849.9670,    3.2, 7.72065e+002,-2.37384e+002, 6.35959e+001, 2.25651e+002, 4.55986e+002, 5.38246e+002,-1.76531e+001, 1.76083e+003, 1.61419e+003, 7.22109e+003, 9.50843e+003
 0,  31,   727421.96,  4335847.57,   0,0,1,  330.75, 2330067.000,003850.0670,    2.4, 6.96535e+002,-2.30659e+002, 3.69310e+001, 2.72989e+002, 4.06369e+002, 5.91852e+002,-1.86714e+001, 1.81917e+003, 1.47108e+003, 7.21435e+003, 9.66770e+003
 0,  32,   727421.87,  4335847.56,   0,0,1,  330.76, 2330167.000,003850.1670,    6.3, 6.46119e+002,-2.01487e+002, 3.51967e+001, 2.58319e+002, 4.07189e+002, 6.43303e+002,-4.96192e+001, 1.89422e+003, 1.47185e+003, 7.22577e+003, 9.82013e+003
