;recorded by GEM.dll
Line,Sample,Mark,Status,GPSStat,Time[ms],PowerLn1,I1_450Hz,Q1_450Hz,I1_1530Hz,Q1_1530Hz,I1_5310Hz,Q1_5310Hz,I1_18330Hz,Q1_18330Hz,I1_63030Hz,Q1_63030Hz,Q1_SumC
 1,  0, 0,0,0,539268544,38.0, 33738.688,21907.260,52994.980,23314.945,71887.234,19950.400,86259.500,13011.479,99037.570,6552.645,84736.719
 1,  1, 0,0,0,539269544,38.4, 33976.813,22016.375,52813.324,23401.416,72325.516,19646.428,86074.156,12792.571,98362.023,6186.549,84043.336
 1,  2, 0,0,0,539270544,38.2, 33251.797,22083.389,52935.160,23422.230,72053.773,19809.188,86329.758,12657.949,98849.898,7263.197,85235.945
 1,  3, 0,0,0,539271544,37.7, 33721.875,22100.078,52776.457,23556.080,72434.820,20099.764,86167.961,12993.317,99454.977,7154.395,85903.641
 1,  4, 0,0,0,539272544,37.2, 33711.359,22073.830,52954.738,23322.705,71688.445,19829.557,86133.250,13047.618,98920.164,5189.074,83462.781
 1,  5, 0,0,0,539273544,36.5, 33799.305,22083.000,52389.637,23094.865,71891.391,19718.389,86215.688,12745.746,98770.180,6739.039,84381.039
 1,  6, 0,0,1,539274544,36.6, 33745.105,22108.863,52712.680,23289.402,72002.852,19458.967,86366.109,12667.978,99018.281,7010.440,84535.648
 1,  7, 0,0,1,539275544,37.3, 33646.988,21959.678,52639.422,23061.932,71727.711,19338.156,86314.313,13100.488,100078.250,6433.271,83893.523
 1,  8, 0,0,1,539276544,37.4, 33774.813,22066.375,52787.273,23363.564,72081.422,19862.475,86178.719,12835.533,98649.383,4856.673,82984.617
 1,  9, 0,0,1,539277544,37.0, 33684.699,22008.510,52883.949,23409.006,72303.039,19379.549,86066.617,12944.395,99361.328,6408.146,84149.602
 1, 10, 0,0,1,539278544,37.0, 33756.469,22014.170,53134.270,23213.434,71986.289,19503.346,86152.742,13120.816,98990.367,6681.385,84533.148
 1, 11, 0,0,1,539279544,36.9, 33706.086,22123.977,52704.480,23360.102,71993.336,19371.748,86086.305,13003.301,98738.234,6682.025,84541.148
 1, 12, 0,0,1,539280544,37.4, 33636.848,22100.299,52804.887,23285.395,71884.547,19610.467,86145.164,12859.961,98240.930,6670.070,84526.195
 1, 13, 0,0,1,539281544,35.9, 33788.605,22215.037,52910.262,23223.740,72055.375,19594.109,86163.219,12823.104,98940.297,6325.326,84181.320
 1, 14, 0,0,1,539282544,36.3, 33918.746,22118.568,52624.984,23552.633,72593.852,19743.117,86331.805,13230.472,98975.109,6768.364,85413.156
 1, 15, 0,0,1,539283544,36.6, 33683.027,22012.691,53011.922,23361.914,72169.281,19614.734,86103.625,12796.917,99183.398,6181.145,83967.406
 1, 16, 0,0,1,539284544,36.8, 33747.574,22091.348,52886.477,23350.926,71855.633,19891.773,85791.852,12977.195,99055.633,5988.195,84299.438
 1, 17, 0,0,1,539285544,37.0, 33776.746,22095.133,52831.070,23115.146,72096.242,19634.707,86182.391,13097.975,99403.414,5703.195,83646.156
 1, 18, 0,0,1,539286544,36.9, 33688.887,21836.227,52965.008,23277.549,72121.641,19656.336,85905.219,12978.845,98579.984,6681.647,84430.602
 1, 19, 0,0,1,539287544,33.3, 34066.430,22583.434,52641.574,25924.123,72492.703,19475.135,86124.539,13024.755,98836.547,6612.478,87619.922
 1, 20, 0,0,1,539288544,22.5, 34226.750,22032.240,52179.895,24837.400,71973.742,20132.992,86171.203,12782.634,99044.117,6550.591,86335.859
 1, 21, 0,0,1,539289544,23.1, 33798.496,22223.986,52065.090,23359.846,72162.813,19694.232,86058.422,12948.847,98462.656,7091.639,85318.547
 1, 22, 0,0,1,539290544,29.3, 33653.480,22042.072,53070.945,23270.055,72064.539,19924.799,86208.188,12804.083,99347.164,7684.840,85725.844
 1, 23, 0,0,1,539291544,30.0, 33425.160,22049.576,52543.637,23114.799,72418.008,19348.756,86059.688,13160.949,99026.063,7418.013,85092.094
 1, 24, 0,0,1,539292544,29.9, 33729.762,22181.129,52901.324,23613.539,71668.961,18555.984,85907.680,13256.021,98198.844,6574.497,84181.172
 1, 25, 0,0,1,539293544,27.9, 33686.266,22296.547,52917.426,23502.697,72012.461,19724.777,86176.023,13120.569,98621.414,6712.675,85357.258
 1, 26, 0,0,1,539294544,27.5, 33696.980,22086.078,52852.180,23151.205,72042.797,19729.547,86158.344,12731.595,98226.680,6815.895,84514.313
 1, 27, 0,0,1,539295544,29.0, 33686.332,21958.371,52903.781,23428.764,71718.297,19717.324,86159.789,12959.542,99295.188,6607.843,84671.844
 1, 28, 0,0,1,539296544,29.2, 33498.867,21635.439,52854.023,23378.496,71963.945,19823.268,85923.086,12734.981,99545.211,6059.865,83632.055
 1, 29, 0,0,1,539297544,29.2, 33825.078,21972.219,52996.434,23434.588,71924.133,19770.715,85841.742,13264.695,98758.313,6023.365,84465.586
 1, 30, 0,0,1,539298544,29.4, 34117.109,21742.971,52988.422,23305.293,72202.688,19151.414,86142.953,13004.815,97811.188,6669.288,83873.781
 1, 31, 0,0,1,539299544,29.6, 33686.121,22117.826,52939.387,23157.598,72423.391,19774.869,86023.109,12616.581,97987.055,6322.202,83989.070
 1, 32, 0,0,1,539300544,29.8, 34120.363,21979.104,52702.301,23339.957,72319.117,19601.928,86056.852,13029.726,98760.313,6033.188,83983.906
 1, 33, 0,0,1,539301544,29.0, 33697.016,22292.693,52897.938,23161.465,71832.258,19768.752,86053.180,13000.442,98093.703,6805.013,85028.367
 1, 34, 0,0,1,539302544,29.1, 33542.691,22191.957,53057.922,23181.813,72246.891,19396.240,86437.117,12812.146,99460.906,5648.440,83230.594
 1, 35, 0,0,1,539303544,29.0, 33746.285,22020.898,52892.035,23433.777,72129.992,19494.174,86268.406,13179.764,99225.266,6217.601,84346.219
 1, 36, 0,0,1,539304544,29.2, 33880.363,21936.084,53174.043,23288.592,71947.102,20168.867,86164.805,13062.659,99915.531,6410.509,84866.711
 1, 37, 0,0,1,539305544,29.4, 33771.246,22074.127,52884.469,23285.877,72224.961,20061.127,86248.680,12998.410,99812.758,6966.933,85386.477
 1, 38, 0,0,1,539306544,29.1, 33579.723,22267.186,52834.965,23251.232,72179.000,19431.869,86117.664,12738.790,98610.344,6522.135,84211.211
 1, 39, 0,0,1,539307544,29.0, 33666.551,22371.014,52643.340,23286.805,72355.477,20125.916,86138.625,13168.706,98070.992,6335.150,85287.586
 1, 40, 0,0,1,539308544,28.9, 33490.020,22171.668,52624.422,23203.107,71936.391,19697.773,85943.086,12929.000,99358.508,5910.794,83912.344
 1, 41, 0,0,1,539309544,28.6, 33920.371,22031.096,52814.180,23201.672,71947.273,19618.934,86284.781,12829.938,99193.383,6721.265,84402.906
 1, 42, 0,0,1,539310544,28.9, 33653.801,22181.529,52741.270,23392.568,71611.352,19914.727,85838.906,12915.760,99921.180,6969.126,85373.711
 1, 43, 0,0,1,539311544,29.5, 33725.059,22125.305,53136.129,23216.414,72095.320,19736.455,86087.445,12874.195,99296.789,5364.221,83316.586
 1, 44, 0,0,1,539312544,29.0, 33864.535,22087.299,52819.711,23163.109,72103.844,19893.771,86287.500,12893.427,97991.594,6222.287,84259.898
 1, 45, 0,0,1,539313544,29.5, 33682.988,22000.900,52835.949,23315.111,72230.773,19755.895,86050.750,12834.942,98544.156,6322.337,84229.188
