;recorded by GEM.dll
GEMms,GPSms,GGA,hhmmss,ddmm.m,lathem,ddmm.m,lonsect,flg,sats,PDOP,alt,M,Un,GH,M,Age,id,cs
53927442,53927000,$GPGGA,145847.0,3545.74000,N,07839.37260,W,1,08,1.0,86.7,M,,-34.8,M,0.0,0,*
53928403,53928000,$GPGGA,145848.0,3545.73990,N,07839.37260,W,1,07,1.1,86.7,M,,-34.8,M,0.0,0,*
53929436,53929000,$GPGGA,145849.0,3545.73990,N,07839.37250,W,1,08,1.0,86.6,M,,-34.8,M,0.0,0,*
53930440,53930000,$GPGGA,145850.0,3545.73990,N,07839.37240,W,1,08,1.0,86.6,M,,-34.8,M,0.0,0,*
53931444,53931000,$GPGGA,145851.0,3545.74000,N,07839.37230,W,1,08,1.0,86.6,M,,-34.8,M,0.0,0,*
53932437,53932000,$GPGGA,145852.0,3545.74000,N,07839.37210,W,1,08,1.0,86.6,M,,-34.8,M,0.0,0,*
53933443,53933000,$GPGGA,145853.0,3545.73980,N,07839.37240,W,1,08,1.0,86.5,M,,-34.8,M,0.0,0,*
53934448,53934000,$GPGGA,145854.0,3545.73980,N,07839.37220,W,1,08,1.0,86.4,M,,-34.8,M,0.0,0,*
53935440,53935000,$GPGGA,145855.0,3545.73990,N,07839.37210,W,1,08,1.0,86.2,M,,-34.8,M,0.0,0,*
53936441,53936000,$GPGGA,145856.0,3545.74000,N,07839.37200,W,1,08,1.0,86.1,M,,-34.8,M,0.0,0,*
53937442,53937000,$GPGGA,145857.0,3545.74010,N,07839.37190,W,1,08,1.0,85.9,M,,-34.8,M,0.0,0,*
53938439,53938000,$GPGGA,145858.0,3545.74000,N,07839.37200,W,1,08,1.1,85.7,M,,-34.8,M,0.0,0,*
53939446,53939000,$GPGGA,145859.0,3545.74000,N,07839.37200,W,1,08,1.0,85.6,M,,-34.8,M,0.0,0,*
53940444,53940000,$GPGGA,145900.0,3545.73990,N,07839.37210,W,1,08,1.0,85.4,M,,-34.8,M,0.0,0,*
53941422,53941000,$GPGGA,145901.0,3545.73990,N,07839.37220,W,1,08,1.0,85.2,M,,-34.8,M,0.0,0,*
53942460,53942000,$GPGGA,145902.0,3545.73970,N,07839.37250,W,1,08,1.0,85.0,M,,-34.8,M,0.0,0,*
53943433,53943000,$GPGGA,145903.0,3545.73960,N,07839.37240,W,1,08,1.0,85.0,M,,-34.8,M,0.0,0,*
53944439,53944000,$GPGGA,145904.0,3545.73940,N,07839.37240,W,1,08,1.0,84.9,M,,-34.8,M,0.0,0,*
53945434,53945000,$GPGGA,145905.0,3545.73930,N,07839.37230,W,1,08,1.0,84.8,M,,-34.8,M,0.0,0,*
53946425,53946000,$GPGGA,145906.0,3545.73920,N,07839.37240,W,1,08,1.0,84.7,M,,-34.8,M,0.0,0,*
53947438,53947000,$GPGGA,145907.0,3545.73930,N,07839.37210,W,1,08,1.0,84.6,M,,-34.8,M,0.0,0,*
53948429,53948000,$GPGGA,145908.0,3545.73930,N,07839.37200,W,1,08,1.0,84.5,M,,-34.8,M,0.0,0,*
53949424,53949000,$GPGGA,145909.0,3545.73930,N,07839.37180,W,1,08,1.0,84.4,M,,-34.8,M,0.0,0,*
53950429,53950000,$GPGGA,145910.0,3545.73930,N,07839.37160,W,1,08,1.0,84.3,M,,-34.8,M,0.0,0,*
53951429,53951000,$GPGGA,145911.0,3545.73940,N,07839.37150,W,1,08,1.0,84.3,M,,-34.8,M,0.0,0,*
53952450,53952000,$GPGGA,145912.0,3545.73950,N,07839.37140,W,1,08,1.1,84.2,M,,-34.8,M,0.0,0,*
53953432,53953000,$GPGGA,145913.0,3545.73960,N,07839.37130,W,1,08,1.0,84.1,M,,-34.8,M,0.0,0,*
53954444,53954000,$GPGGA,145914.0,3545.73950,N,07839.37120,W,1,08,1.0,84.1,M,,-34.8,M,0.0,0,*
53955427,53955000,$GPGGA,145915.0,3545.73960,N,07839.37100,W,1,08,1.0,84.0,M,,-34.8,M,0.0,0,*
53956431,53956000,$GPGGA,145916.0,3545.73970,N,07839.37080,W,1,08,1.0,83.9,M,,-34.8,M,0.0,0,*
53957455,53957000,$GPGGA,145917.0,3545.73970,N,07839.37070,W,1,08,1.0,83.9,M,,-34.8,M,0.0,0,*
53958439,53958000,$GPGGA,145918.0,3545.73970,N,07839.37050,W,1,08,1.0,83.9,M,,-34.8,M,0.0,0,*
53959424,53959000,$GPGGA,145919.0,3545.73980,N,07839.37040,W,1,08,1.0,84.0,M,,-34.8,M,0.0,0,*
53960431,53960000,$GPGGA,145920.0,3545.73990,N,07839.37030,W,1,08,1.0,84.0,M,,-34.8,M,0.0,0,*
53961433,53961000,$GPGGA,145921.0,3545.74010,N,07839.37000,W,1,08,1.0,84.0,M,,-34.8,M,0.0,0,*
53962455,53962000,$GPGGA,145922.0,3545.74040,N,07839.36980,W,1,08,1.0,84.1,M,,-34.8,M,0.0,0,*
53963439,53963000,$GPGGA,145923.0,3545.74050,N,07839.36980,W,1,08,1.1,84.1,M,,-34.8,M,0.0,0,*
53964400,53964000,$GPGGA,145924.0,3545.74070,N,07839.36980,W,1,08,1.1,84.2,M,,-34.8,M,0.0,0,*
53965429,53965000,$GPGGA,145925.0,3545.74070,N,07839.36980,W,1,08,1.1,84.3,M,,-34.8,M,0.0,0,*
53966435,53966000,$GPGGA,145926.0,3545.74100,N,07839.36960,W,1,08,1.0,84.3,M,,-34.8,M,0.0,0,*
53967442,53967000,$GPGGA,145927.0,3545.74100,N,07839.36950,W,1,08,1.0,84.4,M,,-34.8,M,0.0,0,*
