Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn, ResLayer_1, ResLayer_2, ResLayer_3, ThiLayer_1, ThiLayer_2,FitError(%)
0,0,0.00,0.00,0,0,49136044.200,133856.0442,47.2, 34.903, 34.903, 2.865, 4.086, 4.086, 98.52
0,1,0.01,0.00,0,0,49136144.200,133856.1442,47.4, 34.903, 34.903, 5.220, 3.297, 3.297, 94.41
0,2,0.02,0.00,0,0,49136244.200,133856.2442,47.6, 34.903, 34.903, 6.940, 3.391, 3.391, 80.90
0,3,0.03,0.00,0,0,49136344.200,133856.3442,47.3, 34.903, 3.867, 25.857, 6.640, 3.467, 84.30
0,4,0.04,0.00,0,0,49136444.200,133856.4442,47.4, 34.903, 2.865, 34.903, 6.640, 2.700, 93.76
0,5,0.05,0.00,0,0,49136544.200,133856.5442,47.4, 31.582, 3.166, 34.903, 6.640, 2.700, 90.81
0,6,0.06,0.00,0,0,49136644.200,133856.6442,47.4, 34.903, 34.903, 5.769, 3.118, 3.118, 66.89
0,7,0.07,0.00,0,0,49136744.200,133856.7442,47.1, 34.903, 34.903, 5.220, 3.644, 3.644, 71.00
0,8,0.08,0.00,0,0,49136844.200,133856.8442,46.9, 34.903, 34.903, 4.274, 3.644, 3.644, 75.59
0,9,0.09,0.00,0,0,49136944.200,133856.9442,47.4, 34.903, 34.903, 5.769, 3.644, 3.644, 62.71
0,10,0.10,0.00,0,0,49137044.200,133857.0442,46.9, 34.903, 34.903, 4.724, 3.644, 3.644, 70.73
0,11,0.11,0.00,0,0,49137144.200,133857.1442,46.5, 34.903, 34.903, 5.220, 3.571, 3.571, 96.21
0,12,0.12,0.00,0,0,49137244.200,133857.2442,47.1, 34.903, 34.903, 5.841, 3.243, 3.243, 94.36
0,13,0.13,0.00,0,0,49137344.200,133857.3442,46.7, 34.903, 34.903, 5.220, 3.283, 3.283, 85.99
0,14,0.14,0.00,0,0,49137444.200,133857.4442,47.1, 34.903, 6.376, 18.741, 6.008, 3.347, 109.25
0,15,0.15,0.00,0,0,49137544.200,133857.5442,47.0, 34.903, 7.047, 25.857, 6.008, 5.432, 101.65
0,16,0.15,0.00,0,0,49137644.200,133857.6442,47.2, 34.903, 8.607, 21.170, 5.437, 2.737, 105.11
0,17,0.16,0.00,0,0,49137744.200,133857.7442,46.7, 34.903, 8.607, 28.577, 6.640, 6.266, 96.83
0,18,0.17,0.00,0,0,49137844.200,133857.8442,47.2, 34.903, 5.769, 34.903, 6.640, 4.919, 80.19
0,19,0.18,0.00,0,0,49137944.200,133857.9442,46.9, 34.903, 2.865, 34.903, 6.640, 2.443, 76.81
